Hospital Name,AT&T,FirstNet
Mayo Clinic Hospital in Florida,18,0
HCA Florida Bayonet Point Hospital,5,0
Ascension St. Vincent's Riverside,17,0
River Point Behavioral Health,8,0
AdventHealth Connerton,0,0
Health First Viera Hospital,2,0
Ascension Sacred Heart Gulf,0,0
Wekiva Springs,4,0
Central Florida Behavioral Hospital,10,0
HCA Florida Memorial Hospital,10,0
Naval Hospital Jacksonville,10,0
Baptist Medical Center Beaches,1,0
Aspire Health Partners,5,0
Port St. Lucie Hospital,0,0
West Kendall Baptist Hospital,7,0
Emerald Coast Behavioral Hospital,5,0
Eastside Psychiatric Hospital,7,0
HCA Florida Osceola Hospital,7,0
HCA Florida Lake City Hospital,13,0
Reception and Medical Center,2,0
Lake Butler Hospital,0,0
Lakeland Regional Health Medical Center,6,0
AdventHealth Lake Wales,2,0
Lehigh Regional Medical Center,2,0
HCA Florida Largo Hospital,7,0
Madison County Memorial Hospital,0,0
Ed Fraser Memorial Hospital,9,0
Northeast Florida State Hospital,0,0
Fishermen's Hospital,3,0
HCA Florida Northwest Hospital,19,0
Jackson Hospital,0,0
HCA Florida Kendall Hospital,30,0
Health First Holmes Regional Medical Center,6,0
Circles of Care,10,0
Miami Jewish Health,15,0
HCA Florida Mercy Hospital,0,0
Jackson Health System,58,0
Baptist Hospital of Miami,18,0
"Sea Pines Rehabilitation Hospital, an affiliate of Encompass Health",6,0
Devereux Hospital and Children's Center of Florida,10,0
UMHC-Sylvester Comprehensive Cancer Center,82,0
North Shore Medical Center,24,0
Nicklaus Children's Hospital,9,0
Mount Sinai Medical Center,27,0
Santa Rosa Medical Center,1,0
AdventHealth New Smyrna Beach,5,0
NCH Baker Hospital,17,0
AdventHealth Ocala,7,0
HCA Florida Twin Cities Hospital,7,0
Morton Plant North Bay Hospital,2,0
HCA Florida Raulerson Hospital,1,0
St. Catherine's Rehabilitation Hospital,11,0
The Willough at Naples,3,0
HCA Florida Ocala Hospital,7,0
AdventHealth Wesley Chapel,2,0
HCA Florida Poinciana Hospital,3,0
Nemours Children's Hospital,14,0
AdventHealth Orlando,21,0
Ascension St. Vincent's Clay County,9,0
Orlando Health Orlando Regional Medical Center,58,0
HCA Florida Orange Park Hospital,6,0
North Florida/South Georgia Veteran's Health System,49,0
Landmark Hospital of Southwest Florida,2,0
Encompass Health Rehabilitation Hospital of Altamonte Springs,4,0
Select Specialty Hospital-Miami Lakes,19,0
AdventHealth Daytona Beach,9,0
Oviedo Medical Center,15,0
HCA Florida Putnam Hospital,5,0
HCA Florida Palms West Hospital,3,0
Encompass Health Rehabilitation Hospital of North Tampa,0,0
Halifax Health/UF Health Medical Center of Deltona,0,0
Encompass Health Rehabilitation Hospital of Pensacola,0,0
UCF Lake Nona Medical Center,6,0
HCA Florida University Hospital,0,0
Sarasota Memorial Hospital - Venice,2,0
Encompass Health Rehabilitation Hospital of Cape Coral,0,0
Encompass Health Rehabilitation Hospital of Lakeland,0,0
AdventHealth Palm Coast Parkway,0,0
Memorial Hospital Pembroke,13,0
Ascension St. Vincent’s St. Johns County,0,0
BayCare Hospital Wesley Chapel,0,0
Palm Beach Gardens Medical Center,7,0
Ascension Sacred Heart Bay,5,0
HCA Florida Gulf Coast Hospital,3,0
Baptist Hospital,2,0
HCA Florida West Hospital,10,0
Ascension Sacred Heart Pensacola,49,4
Naval Hospital Pensacola,1,0
Doctors' Memorial Hospital,2,0
South Florida Baptist Hospital,9,0
HCA Florida St. Lucie Hospital,9,0
Shorepoint Health Punta Gorda,1,0
Broward Health North,29,0
Shorepoint Health Port Charlotte,4,0
HCA Florida Fawcett Hospital,11,0
Rockledge Regional Medical Center,22,0
Orlando Health St. Cloud Hospital,1,0
Johns Hopkins All Children's Hospital,29,0
Bayfront Health St. Petersburg,15,0
HCA Florida Northside Hospital,4,0
HCA Florida Pasadena Hospital,7,0
St. Anthony's Hospital,15,0
HCA Florida St. Petersburg Hospital,6,0
HCA Florida Lake Monroe Hospital,3,0
HCA Florida Sarasota Doctors Hospital,1,0
Sebastian River Medical Center,0,0
HCA Florida Highlands Hospital,0,0
Encompass Health Rehabilitation Hospital of Sarasota,6,0
Larkin Community Hospital-South Miami Campus,43,0
South Miami Hospital,53,0
HCA Florida Oak Hill Hospital,0,0
Cleveland Clinic Martin North Hospital,1,0
Encompass Health Rehabilitation Hospital of Sunrise,12,0
Tallahassee Memorial HealthCare,18,0
HCA Florida Capital Hospital,8,0
Encompass Health Rehabilitation Hospital of Tallahassee,10,0
Tampa General Hospital,106,0
H. Lee Moffitt Cancer Center and Research Institute,51,0
HCA Florida West Tampa Hospital,6,0
Shriners Hospitals for Children-Tampa,49,0
AdventHealth Tampa,50,0
AdventHealth North Pinellas,3,0
James A. Haley Veterans' Hospital-Tampa,20,0
Parrish Medical Center,2,0
U. S. Air Force Regional Hospital FL,0,0
Cleveland Clinic Indian River Hospital,3,0
AdventHealth Wauchula,3,0
Encompass Health Rehabilitation Hospital of Treasure Coast,6,0
Good Samaritan Medical Center FL,23,0
Sunview Medical Center,11,0
St. Mary's Medical Center FL,9,0
Orlando Health - Health Central Hospital,8,0
Wellington Regional Medical Center,28,0
HCA Florida Englewood Hospital,0,0
Jupiter Medical Center,5,0
Coral Gables Hospital,17,0
Palmetto General Hospital,18,0
HCA Florida South Shore Hospital,2,0
HCA Florida Trinity Hospital,5,0
Kindred Hospital South Florida-Fort Lauderdale,10,0
PAM Health Specialty Hospital of Jacksonville,18,0
Jay Hospital,1,0
Westchester General Hospital,37,0
AdventHealth Carrollwood,11,0
Kindred Hospital Bay Area-Tampa,6,0
Kindred Hospital Melbourne,7,0
Select Specialty Hospital-The Villages,1,0
LifeStream Behavioral Center,4,0
Park Royal Hospital,11,1
Encompass Health Rehabilitation Hospital of Ocala,3,0
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",2,0
Select Specialty Hospital Daytona Beach,9,0
Select Specialty Hospital-Fort Myers,7,0
North Tampa Behavioral Health,1,0
Orlando VA Medical Center,12,0
Palm Point Behavioral Health,2,0
The Blackberry Center,2,0
Encompass Health Rehabilitation Hospital of Clermont,0,0
Encompass Health Rehabilitation Hospital of Jacksonville,0,0
Rehabilitation Hospital of Naples,0,0
Encompass Health Rehabilitation Hospital of St. Augustine,0,0
Arrowhead Behavioral Health Hospital,7,0
Belmont Pines Hospital,12,0
The OSUCCC - James,48,0
Cleveland Clinic Akron General,8,0
Summa Health System – Akron Campus,19,0
Mercy Health - Lorain Hospital,5,0
Firelands Regional Health System,7,0
OhioHealth Mansfield Hospital,1,0
Blanchard Valley Hospital,1,0
Cleveland Clinic South Pointe Hospital,9,0
Trinity Health System,1,0
Genesis HealthCare System,4,0
Appalachian Behavioral Healthcare,11,0
Upper Valley Medical Center,4,0
Northcoast Behavioral Healthcare,1,0
ProMedica Bay Park Hospital,2,0
Institute for Orthopaedic Surgery,3,0
Specialty Hospital of Lorain,0,0
PAM Specialty Hospital of Dayton,5,0
Holzer Medical Center - Jackson,3,0
Mount Carmel New Albany Surgical Hospital,4,0
Select Specialty Hospital-Cincinnati,22,0
Mercy Health - Defiance Hospital,1,0
Aultman Specialty Hospital,9,0
Community Hospitals and Wellness Centers-Montpelier,0,0
Kindred Hospital-Dayton,12,0
Akron Children's Hospital,11,0
Kindred Hospital Lima,6,0
Select Specialty Hospital-Columbus,23,0
Select Specialty Hospital-Youngstown,5,0
Select Specialty Hospital of Southeast Ohio,3,0
Select Specialty Hospital-Akron,14,0
Ohio Hospital for Psychiatry,1,0
Mercy Health - St. Elizabeth Boardman Hospital,9,0
Lindner Center of HOPE,2,0
Select Specialty Hospital-Canton,13,0
Aultman Alliance Community Hospital,5,0
OhioHealth Dublin Methodist Hospital,16,0
University Hospitals Samaritan Medical Center,1,0
Ashtabula County Medical Center,3,0
Regency North Central Ohio - Cleveland East,14,0
OhioHealth O'Bleness Hospital,11,0
Mercy Health - Clermont Hospital,1,0
WVU Medicine - Barnesville Hospital,0,0
Mary Rutan Hospital,1,0
"Bellevue Hospital, The",1,0
Regency Hospital of Toledo,3,0
Regency Hospital of Columbus,12,0
University Hospitals Ahuja Medical Center,23,0
Southwest General Health Center,5,0
Northeast Ohio VA Healthcare System,20,0
Three Gables Surgery Center,1,0
Advanced Specialty Hospital of Toledo,2,0
Bluffton Hospital,0,0
Wood County Hospital,0,0
Community Hospitals and Wellness Centers,1,0
Bucyrus Community Hospital,0,0
WVU Medicine - Harrison Community Hospital,0,0
OhioHealth Southeastern Medical Center,1,0
Aultman Hospital,9,0
Select Specialty Hospital - Cleveland Fairhill,0,0
Cleveland Clinic Mercy Hospital,13,0
The Rehabilitation Institute of Ohio,14,0
Ohio Valley Surgical Hospital,7,0
Northwest Ohio Psychiatric Hospital,1,0
Surgical Hospital at Southwoods,7,0
Diley Ridge Medical Center,2,0
Life Line Hospital,1,0
University Hospitals Geauga Medical Center,2,0
Adena Regional Medical Center,5,0
Chillicothe Veterans Affairs Medical Center,0,0
Bethesda North Hospital,7,0
Cincinnati Children's Hospital Medical Center,14,0
The Christ Hospital Health Network,7,0
University of Cincinnati Medical Center,17,0
Daniel Drake Center for Post Acute Care,4,0
Good Samaritan Hospital OH,22,0
Soin Medical Center,27,0
Encompass Health Rehabilitation Hospital at Cincinnati,4,0
The Woods at Parkside,1,0
Mental Health Services for Clark and Madison Counties,2,0
Mercy Health - West Hospital,2,0
Access Hospital Dayton,1,0
Summa Rehab Hospital,5,0
Haven Behavioral Hospital of Dayton,14,0
Columbus Springs Dublin,9,0
Ridgeview Behavioral Hospital,0,0
Beckett Springs,6,0
OhioHealth Rehabilitation Hospital,23,0
West Chester Hospital,11,0
Mount Carmel Rehabilitation Hospital,7,0
Kettering Health Troy,5,0
Sojourn at Seneca Senior Behavioral Health,1,0
University Hospitals Beachwood Medical Center,20,0
Select Specialty Hospital - Boardman,11,0
Encompass Health Rehabilitation Hospital of Toledo,10,0
Summit Behavioral Healthcare,6,0
Blueridge Vista Behavioral Health,4,0
King's Daughters Medical Center Ohio,9,0
Cleveland Clinic Rehabilitation Hospital,0,0
UH Avon Rehabilitation Hospital,2,0
UH Rehabilitation Hospital,3,0
Cleveland Clinic Avon Hospital,3,0
TriHealth Rehabilitation Hospital,14,1
Rehabilitation Hospital of Northwest Ohio,3,0
Highland Springs Hospital,6,0
ClearVista Health and Wellness,4,0
Avita Ontario Hospital,3,0
Mercy Health - Anderson Hospital,3,0
SUN Behavioral Columbus,15,0
Nationwide Children's Hospital - Toledo,0,0
Shriners Children's Ohio,15,0
Cincinnati Veterans Affairs Medical Center,18,0
OhioHealth Berger Hospital,1,0
Riverview Health Institute,0,0
Cleveland Clinic Children's Hospital for Rehabilitation,7,0
MetroHealth Medical Center,9,0
Cleveland Clinic,50,0
Cleveland Clinic Euclid Hospital,2,0
Cleveland Clinic Fairview Hospital,6,0
Grace Hospital,22,0
Cleveland Clinic Lutheran Hospital,28,0
University Hospitals Parma Medical Center,6,0
Mercy Health - Fairfield Hospital,1,0
University Hospitals Cleveland Medical Center,36,0
University Hospitals Rainbow Babies and Children's,40,0
Cleveland Clinic Hillcrest Hospital,17,0
Mercer Health,2,0
Nationwide Children's Hospital,27,0
OhioHealth Doctors Hospital,3,0
Twin Valley Behavioral Healthcare,10,0
OhioHealth Grant Medical Center,38,0
Mount Carmel St. Ann's,16,0
Ohio State University Wexner Medical Center,44,0
OhioHealth Riverside Methodist Hospital,19,0
University Hospitals Conneaut Medical Center,0,0
Coshocton Regional Medical Center,0,0
Dayton Children's Hospital,14,0
Kettering Health Miamisburg,5,0
Kettering Health Dayton,4,0
Miami Valley Hospital,10,0
Wright Patterson Medical Center,10,0
Dayton Veterans Affairs Medical Center,0,0
ProMedica Defiance Regional Hospital,2,0
OhioHealth Grady Memorial Hospital,3,0
Trinity Hospital Twin City,2,0
Cleveland Clinic Union Hospital,0,0
East Liverpool City Hospital,3,0
University Hospitals Elyria Medical Center,5,0
ProMedica Fostoria Community Hospital,0,0
ProMedica Memorial Hospital,1,0
Galion Community Hospital,2,0
Holzer Medical Center,10,0
Cleveland Clinic Marymount Hospital,11,0
University Hospitals Geneva Medical Center,2,0
Adena Greenfield Medical Center,6,0
Wayne HealthCare,0,0
Kettering Health Hamilton,2,0
Community Memorial Hospital OH,0,0
Highland District Hospital,1,0
Kettering Health Main Campus,5,0
OhioHealth Hardin Memorial Hospital,0,0
Fairfield Medical Center,4,0
Lima Memorial Health System,2,0
Mercy Health - St. Rita's Medical Center,6,0
Cleveland Clinic Akron General Lodi Hospital,1,0
Hocking Valley Community Hospital,0,0
Madison Health,1,0
Marietta Memorial Hospital,2,0
OhioHealth Marion General Hospital,3,0
Memorial Health,2,0
Heartland Behavioral Healthcare,2,0
Cleveland Clinic Medina Hospital,5,0
Atrium Medical Center OH,5,0
Pomerene Hospital,0,0
Morrow County Hospital,1,0
Knox Community Hospital,1,0
Henry County Hospital,0,0
Licking Memorial Hospital,3,0
Fisher-Titus Medical Center,2,0
Mercy Health - Allen Hospital,3,0
Aultman Orrville Hospital,0,0
McCullough-Hyde Memorial Hospital/TriHealth,7,0
University Hospitals Lake Health,0,0
Paulding County Hospital,1,0
Magruder Memorial Hospital,3,0
Southern Ohio Medical Center,0,0
University Hospitals Portage Medical Center,3,0
Glenbeigh Hospital and Outpatient Centers,2,0
Grand Lake Health System,1,0
Salem Regional Medical Center,12,0
OhioHealth Shelby Hospital,0,0
Wilson Memorial Hospital,4,0
Mercy Health - Springfield Regional Medical Center,4,0
Mercy Health - Tiffin Hospital,2,0
The University of Toledo Medical Center,1,0
Mercy Health - St. Vincent Medical Center,1,0
ProMedica Toledo Hospital,2,0
Wyandot Memorial Hospital,0,0
Mercy Health - Urbana Hospital,1,0
OhioHealth Van Wert Hospital,4,0
Mercy Health - St. Joseph Warren Hospital,1,0
Hillside Rehabilitation Hospital,0,0
Trumbull Regional Medical Center,5,0
Adena Fayette Medical Center,3,0
Fulton County Health Center,0,0
Adena Pike Medical Center,1,0
Adams County Regional Medical Center,3,0
Windsor-Laurelwood Center for Behavioral Medicine,13,0
Mercy Health - Willard Hospital,2,0
CMH Regional Health System,0,0
Wooster Community Hospital,6,0
Kettering Health Greene Memorial,3,0
Mercy Health - St. Elizabeth Youngstown Hospital,5,0
Mount Carmel East Hospital,12,0
University Hospitals St. John Medical Center,11,0
The Jewish Hospital - Mercy Health,17,0
Western Reserve Hospital,1,0
Selby General Hospital,2,0
Rehabilitation Hospital of Indiana,20,0
Franciscan Health Hammond,10,0
Community Hospital Anderson,7,0
Kindred Hospital-Indianapolis,9,0
Rehabilitation Hospital of Fort Wayne,15,0
Southern Indiana Rehabilitation Hospital,0,0
Michiana Behavioral Health Center,5,0
Indiana University Health University Hospital,46,0
Veterans Affairs Northern Indiana Health Care System,13,0
Community Hospital North,21,0
Franciscan Health Michigan City,5,0
Ascension St. Vincent Evansville,17,0
Franciscan Health Indianapolis,20,0
Franciscan Healthcare Munster,10,0
Bluffton Regional Medical Center,5,0
The Women's Hospital,22,0
Dupont Hospital,3,0
Ascension St. Vincent Heart Center,35,0
Regency Hospital of Northwest Indiana,17,0
Bloomington Meadows Hospital,3,0
Parkview Ortho Hospital,9,0
Wellstone Regional Hospital,6,0
Indiana University Health West Hospital,9,0
Ascension St. Vincent Anderson,5,0
Kindred Hospital Indianapolis North,27,0
Select Specialty Hospital-Evansville,15,0
Cameron Memorial Community Hospital,9,0
OrthoIndy Hospital,22,0
Indiana University Health North Hospital,22,0
Central Indiana AMG Specialty Hospital,18,0
Monroe Hospital,3,0
Otis R. Bowen Center for Human Services,3,0
Pinnacle Hospital,7,0
Medical Behavioral Hospital of Mishawaka,3,0
Ascension St. Vincent Seton Specialty Hospital,20,0
Indiana University Health Arnett Hospital,8,0
Parkview DeKalb Hospital,2,0
Margaret Mary Health,2,0
Indiana University Health Bloomington Hospital,13,0
Ascension St. Vincent Warrick,1,0
Ascension St. Vincent Clay Hospital,4,0
Community Hospital of Bremen,0,0
Ascension St. Vincent Carmel Hospital,15,0
Regional Mental Health Center,3,0
Union Hospital Clinton,7,0
Orthopaedic Hospital of Lutheran Health Network,14,0
Parkview Whitley Hospital,6,0
Physicians' Medical Center,2,0
Columbus Regional Hospital,12,0
Harrison County Hospital,4,0
Franciscan Health Crawfordsville,3,0
Franciscan Health Crown Point,2,0
Hendricks Regional Health,6,0
Adams Memorial Hospital,5,0
Franciscan Health Dyer,15,0
St. Catherine Hospital IN,17,0
Elkhart General Hospital,3,0
Ascension St. Vincent Mercy,3,0
Unity Physicians Hospital,19,0
AMG Specialty Hospital Northwest Indiana,15,0
Community Mental Health Center,3,0
Radiant Health,12,0
Harsha Behavioral Center,4,0
Deaconess Midtown Hospital,7,0
Evansville State Hospital,11,0
Encompass Health Deaconess Rehabilitation Hospital,11,0
Lutheran Hospital of Indiana,15,0
Franciscan Health Lafayette East,3,0
Lutheran Downtown Hospital,9,0
Indiana University Health Frankfort,1,0
Johnson Memorial Hospital IN,6,0
Franciscan Health Carmel,17,0
4C Health,8,0
Meridian Health Services,18,0
Ascension St. Vincent Fishers,4,0
Lafayette Regional Rehabilitation Hospital,4,0
Options Behavioral Health System,16,0
NeuroDiagnostic Institute and Advanced Treatment Center,4,0
NeuroBehavioral Hospital of NW Indiana/Greater Chicago,10,0
Methodist Hospitals,6,0
Goshen Health,0,0
Oaklawn Psychiatric Center,1,0
NeuroPsychiatric Hospital of Indianapolis,16,0
Putnam County Hospital,1,0
Hancock Regional Hospital,3,0
Decatur County Memorial Hospital,1,0
Community Rehabilitation Hospital South,9,0
Indianapolis Rehabilitation Hospital,0,0
Community Rehabilitation Hospital North,0,0
Valle Vista Health System,7,0
St. Mary Medical Center IN,2,0
Parkview Huntington Hospital,3,0
Community Hospital East,4,0
Community Fairbanks Recovery Center,26,0
Eskenazi Health,31,0
Ascension St. Vincent Indianapolis Hospital,27,0
Community Hospital South,19,0
Richard L. Roudebush Veterans Affairs Medical Center,26,0
Memorial Hospital and Health Care Center,5,0
Norton Clark Hospital,27,0
Parkview Noble Hospital,5,0
Northwest Health - Starke,11,0
Community Howard Regional Health,11,0
Ascension St. Vincent Kokomo,3,0
River Bend Hospital,0,0
Parkview LaGrange Hospital,3,0
Northwest Health - La Porte,26,0
St. Elizabeth Dearborn,3,0
Witham Health Services,1,0
Greene County General Hospital,2,0
Logansport State Hospital,7,0
Logansport Memorial Hospital,6,0
King's Daughters' Health,2,0
Marion Health,12,0
Indiana University Health White Memorial Hospital,1,0
Franciscan Health Mooresville,7,0
Indiana University Health Ball Memorial Hospital,18,0
Baptist Health Floyd,16,0
Community Hospital IN,29,0
Henry Community Health,3,0
Riverview Health,11,0
Madison State Hospital,8,0
Ascension St. Vincent Jennings,5,0
Indiana University Health Paoli Hospital,0,0
Dukes Memorial Hospital,9,0
Plymouth Medical Center,0,0
Indiana University Health Jay Hospital,3,0
Deaconess Gibson Hospital,3,0
Franciscan Health Rensselear,0,0
Reid Health,4,0
Richmond State Hospital,1,0
Woodlawn Hospital,4,0
Rush Memorial Hospital,1,0
Ascension St. Vincent Salem,0,0
Norton Scott Hospital,2,0
Schneck Medical Center,11,0
Major Hospital,8,0
Memorial Hospital of South Bend,8,0
Saint Joseph Health System,19,0
Sullivan County Community Hospital,1,0
Perry County Memorial Hospital IN,1,0
Hamilton Center,15,0
Terre Haute Regional Hospital,6,0
Union Hospital,16,0
Indiana University Health Tipton Hospital,1,0
Northwest Health - Porter,11,0
Good Samaritan Hospital IN,3,0
Parkview Wabash Hospital,7,0
Lutheran Kosciusko Hospital,6,0
Daviess Community Hospital,2,0
Ascension St. Vincent Williamsport,5,0
Pulaski Memorial Hospital,0,0
Ascension St. Vincent Randolph,4,0
Indiana University Health Bedford Hospital,1,0
Evansville Psychiatric Children Center,15,0
Sycamore Springs,4,0
Parkview Regional Medical Center,9,0
NorthEastern Center,9,0
Porter-Starke Services,7,0
Brentwood Springs,0,0
Doctors NeuroPsychiatric Hospital,0,0
Indiana Spine Hospital,17,0
Bloomington Regional Rehabilitation Hospital,0,0
Rehabilitation Hospital of Northern Indiana,0,0
OSF Heart of Mary Medical Center,37,0
Genesis Medical Center-Aledo,4,0
Ascension Alexian Brothers Behavioral Health Hospital,11,0
Alton Memorial Hospital,3,0
Streamwood Behavioral Healthcare System,12,0
Endeavor Health Linden Oaks Hospital,6,0
UnityPoint Health - Trinity Rock Island,3,0
Blessing Hospital,15,0
Northwestern Medicine Central DuPage Hospital,18,0
Alton Mental Health Center,6,0
Endeavor Health Evanston Hospital,31,1
Jesse Brown VA Medical Center,58,0
Advocate Illinois Masonic Medical Center,135,0
Van Matre Encompass Health Rehabilitation Hospital,6,0
Franciscan Health Olympia Fields,5,0
Kindred Chicago Lakeshore,0,0
OSF HealthCare Saint Anthony's Health Center,3,0
Chicago Behavioral Hospital,11,0
UChicago Medicine AdventHealth Bolingbrook,11,0
Lincoln Prairie Behavioral Health Center,17,0
Choate Mental Health Center,0,0
Union County Hospital,6,0
Rush-Copley Medical Center,16,0
Ascension Mercy,12,0
OSF Transitional Care Hospital,10,0
Advocate Good Shepherd Hospital,2,0
Memorial Hospital Belleville,8,0
HSHS St. Elizabeth's Hospital,26,0
Franklin Hospital District,4,0
MacNeal Hospital,20,0
Carle BroMenn Medical Center,6,0
OSF St. Joseph Medical Center,22,0
HSHS St. Joseph's Hospital IL,0,0
Graham Hospital,0,0
Memorial Hospital of Carbondale,15,0
Carlinville Area Hospital,1,0
Thomas H. Boyd Memorial Hospital,1,0
Memorial Hospital IL,0,0
SSM Health St. Mary's Hospital Centralia,3,0
The Pavilion,7,0
Sarah Bush Lincoln Health Center,3,0
Memorial Hospital,2,0
Thorek Memorial Hospital,100,0
Advocate Lutheran General Hospital,21,0
Thorek Memorial Hospital Andersonville,80,0
Garfield Park Behavioral Hospital,9,0
Mercyhealth Javon Bea Hospital - Riverside Campus,1,0
Silver Oaks Behavioral Hospital,12,0
Anderson Rehabilitation Institute,2,0
Encompass Health Rehabilitation Institute of Libertyville,0,0
"Rehabilitation Institute of Southern Illinois, LLC, The",1,0
Montrose Behavioral Health Hospital,58,0
"Quad Cities Rehabilitation Institute, The",10,0
Mercy Crystal Lake Hospital and Medical Center,0,0
Mira Neuro Behavioral Health Care,0,0
Northwestern Memorial Hospital,275,0
Chicago-Read Mental Health Center,19,0
University of Illinois Hospital,85,0
Ann & Robert H. Lurie Children's Hospital of Chicago,265,0
John H. Stroger Jr. Hospital of Cook County,115,0
Holy Cross Hospital IL,10,0
Saint Anthony Hospital,28,0
Jackson Park Hospital and Medical Center,33,0
La Rabida Children's Hospital,14,0
Loretto Hospital,20,0
Weiss Memorial Hospital,58,0
Loyola University Medical Center,9,0
Insight Hospital and Medical Center,64,0
Mount Sinai Hospital,19,0
Community First Medical Center,23,0
Humboldt Park Health,39,0
Rush University Medical Center,113,0
Provident Hospital of Cook County,16,0
Shirley Ryan AbilityLab,278,0
Schwab Rehabilitation Hospital,18,0
Ascension Resurrection,42,5
Hartgrove Behavioral Health System,18,0
Roseland Community Hospital,15,0
St. Bernard Hospital and Health Care Center,29,0
Northwestern Medicine Palos Hospital,3,0
Ascension Saint Joseph - Chicago,81,0
Ascension Saint Mary - Chicago,43,0
Shriners Hospitals for Children-Chicago,11,0
Advocate Trinity Hospital,6,0
South Shore Hospital IL,5,0
Endeavor Health Swedish Hospital,24,0
University of Chicago Medical Center,41,0
OSF Sacred Heart Medical Center,8,0
Warner Hospital and Health Services,4,0
Veterans Affairs Illiana Health Care System,4,0
Decatur Memorial Hospital,5,0
HSHS St. Mary's Hospital,11,0
Northwestern Medicine Kishwaukee Hospital,0,0
Ascension Holy Family,13,0
Katherine Shaw Bethea Hospital,1,0
Advocate Good Samaritan Hospital,1,0
Captain James A. Lovell Federal Health Care Center,11,0
Marshall Browning Hospital,1,0
"Genesis Medical Center, Silvis",3,0
Touchette Regional Hospital,0,0
HSHS St. Anthony's Memorial Hospital,10,0
Ferrell Hospital,11,0
Elgin Mental Health Center,9,0
Ascension Saint Joseph - Elgin,8,0
Advocate Sherman Hospital,6,0
Ascension Alexian Brothers,7,0
Endeavor Health Elmhurst Hospital,24,0
Carle Eureka Hospital,0,0
Ascension Saint Francis,28,0
OSF Healthcare Little Company of Mary Medical Center,8,0
Fairfield Memorial Hospital,1,0
Clay County Hospital IL,3,0
Riveredge Hospital,7,0
FHN Memorial Hospital,2,0
Midwest Medical Center,0,0
OSF St. Mary Medical Center,0,0
Hammond-Henry Hospital,0,0
Northwestern Medicine Delnor Hospital,13,0
Gibson Area Hospital and Health Services,0,0
UChicago Medicine AdventHealth GlenOaks,14,0
Gateway Regional Medical Center,5,0
HSHS Holy Family Hospital in Greenville,0,0
Harrisburg Medical Center,2,0
Mercyhealth Hospital and Medical Center - Harvard,0,0
UChicago Medicine Ingalls Memorial,10,0
Mason District Hospital,6,0
Advocate South Suburban Hospital,8,0
Herrin Hospital,6,0
HSHS St. Joseph's Hospital,0,0
Hillsboro Area Hospital,2,0
"Edward Hines, Jr. Veterans Affairs Hospital",14,0
Hopedale Medical Complex,0,0
UChicago Medicine AdventHealth Hinsdale,10,0
RML Specialty Hospital,6,0
Ascension St. Alexius,10,0
Carle Hoopeston Regional Health Center,4,0
Jacksonville Memorial Hospital,4,0
Jersey Community Hospital,2,0
Ascension Saint Joseph - Joliet,8,0
Silver Cross Hospital,10,0
Riverside Medical Center IL,7,0
Ascension St. Mary - Kankakee,7,0
OSF Saint Luke Medical Center,0,0
UChicago Medicine AdventHealth La Grange,12,0
Northwestern Medicine Lake Forest Hospital,8,0
Lawrence County Memorial Hospital,6,0
Advocate Condell Medical Center,17,0
Lincoln Memorial Hospital,4,0
HSHS St. Francis Hospital,3,0
Northwestern Medicine McHenry,15,0
McDonough District Hospital,0,0
Heartland Regional Medical Center,4,0
Marion Veterans Affairs Medical Center,11,0
Anderson Hospital,3,0
Hamilton Memorial Hospital District,1,0
Chester Mental Health Center,2,0
OSF Saint Paul Medical Center,0,0
Massac Memorial Hospital,1,0
OSF Holy Family Medical Center,1,0
Kirby Medical Center,2,0
Morris Hospital & Healthcare Centers,9,0
Morrison Community Hospital,0,0
Wabash General Hospital,1,0
SSM Health Good Samaritan Hospital,5,0
Crossroads Community Hospital,4,0
St. Joseph Memorial Hospital,4,0
Endeavor Health Edward Hospital,8,0
Washington County Hospital IL,0,0
Kindred Hospital Chicago-Northlake,10,0
Advocate Christ Medical Center,20,0
Rush Oak Park Hospital,30,0
West Suburban Medical Center,24,0
Gottlieb Memorial Hospital,26,0
Carle Richland Memorial Hospital,1,0
OSF Saint Elizabeth Medical Center,1,0
Endeavor Health Northwest Community Hospital,8,0
Pana Community Hospital,2,0
Paris Community Hospital,0,0
Carle Health Pekin Hospital,0,0
Carle Health Methodist Hospital,9,0
Carle Health Proctor Hospital,0,0
OSF Saint Francis Medical Center,8,0
Pinckneyville Community Hospital,1,0
Illini Community Hospital,0,0
OSF Saint James - John W. Albrecht Medical Center,0,0
OSF Saint Clare Medical Center,0,0
Red Bud Regional Hospital,2,0
Crawford Memorial Hospital,0,0
Rochelle Community Hospital,0,0
OSF Saint Anthony Medical Center,3,0
UW Health SwedishAmerican Hospital,6,0
Hardin County General Hospital,0,0
Sarah D. Culbertson Memorial Hospital,1,0
Salem Township Hospital,2,0
Northwestern Medicine Valley West Hospital,2,0
HSHS Good Shepherd Hospital,1,0
Sparta Community Hospital,1,0
Springfield Memorial Hospital,36,0
Elizabeth Parsons Ware Packard Mental Health Center,13,0
HSHS St. John's Hospital,53,0
Community Hospital of Staunton,14,0
CGH Medical Center,0,0
Kindred Hospital-Sycamore,1,0
Taylorville Memorial Hospital,15,0
Carle Foundation Hospital,11,0
SBL Fayette County Hospital and Long Term Care,5,0
