Index,Hospital Name,Nearby Cell Towers
1232,Central Carolina Hospital,9
1233,Atrium Health Cleveland,11
1234,UNC Health Chatham,0
1235,UNC Health Johnston,12
1236,Dosher Memorial Hospital,10
1237,Alleghany Health,1
1238,Blue Ridge Regional Hospital,1
1239,Davis Regional Medical Center,19
1240,Iredell Health System,8
1241,Harris Regional Hospital,20
1242,ECU Health Edgecombe Hospital,1
1243,Novant Health Thomasville Medical Center,7
1244,FirstHealth Montgomery Memorial Hospital,8
1245,St. Luke's Hospital NC,4
1246,Atrium Health Anson,7
1247,ECU Health Beaufort Hospital,11
1248,Haywood Regional Medical Center,11
1249,Columbus Regional Healthcare System,4
1250,Wilmington Treatment Center,33
1251,Wilson Medical Center NC,8
1252,ECU Health Bertie Hospital,1
1253,Novant Health Forsyth Medical Center,51
1254,Novant Health Medical Park Hospital,39
1255,Old Vineyard Behavioral Health Services,32
1256,Atrium Health Wake Forest Baptist,38
1257,Strategic Behavioral Health - Raleigh,24
1258,Carolina Dunes Behavioral Health,8
1259,Triangle Springs Hospital,46
1260,Veritas Collaborative NC,94
1261,"Novant Health Rehabilitation Hospital, an affiliate of Encompass Health",20
1262,Prisma Health Laurens County Hospital,3
1263,Encompass Health Rehabilitation Hospital of Columbia,40
1264,William J. McCord Adolescent Treatment Facility,0
1265,Aiken Regional Medical Centers,23
1266,McLeod Regional Medical Center,42
1267,Abbeville Area Medical Center,0
1268,MUSC Health Florence Medical Center,17
1269,Encompass Health Rehabilitation Hospital of Florence,33
1270,MUSC Health Marion Medical Center,5
1271,Spartanburg Hospital for Restorative Care,41
1272,Regency Hospital of Florence,52
1273,Tidelands Waccamaw Community Hospital,22
1274,Encompass Health Rehabilitation Hospital of Rock Hill,30
1275,AnMed Rehabilitation Hospital,12
1276,"MUSC Health Rehabilitation Hospital, an affiliate of Encompass Health",52
1277,Coastal Carolina Hospital,11
1278,Regency Hospital of Greenville,24
1279,ContinueCARE Hospital at Palmetto Health Baptist,87
1280,Vibra Hospital of Charleston,32
1281,Patrick B. Harris Psychiatric Hospital,1
1282,AnMed Medical Center,20
1283,Lighthouse Behavioral Health Hospital,34
1284,Greenwood Regional Rehabilitation Hospital,2
1285,Prisma Health Patewood Hospital,94
1286,Pelham Medical Center,18
1287,Roper St. Francis Mount Pleasant Hospital,22
1288,Beaufort Memorial Hospital,7
1289,Naval Hospital Beaufort,9
1290,MUSC Health Kershaw Medical Center,10
1291,MUSC Health University Medical Center,76
1292,Roper Hospital,116
1293,Palmetto Lowcountry Behavioral Health,27
1294,Bon Secours St. Francis Hospital,24
1295,Ralph H. Johnson Veterans Affairs Medical Center,103
1296,MUSC Health Chester Medical Center,0
1297,Morris Village Alcohol and Drug Addiction Treatment Center,4
1298,G. Werber Bryan Psychiatric Hospital,11
1299,Prisma Health Richland Hospital,48
1300,MUSC Health Columbia Medical Center Downtown,39
1301,Prisma Health Baptist Hospital,87
1302,South Carolina Department of Corrections Hospital,14
1303,Columbia VA Health Care System,32
1304,William S. Hall Psychiatric Institute,32
1305,Conway Medical Center,18
1306,Trident Medical Center,54
1307,McLeod Health Dillon,5
1308,Edgefield County Healthcare,3
1309,Prisma Health Baptist Easley Hospital,5
1310,Allendale County Hospital,3
1311,Moncrief Army Community Hospital,10
1312,Cherokee Medical Center,6
1313,Tidelands Georgetown Memorial Hospital,15
1314,Prisma Health Greenville Memorial Hospital,32
1315,Bon Secours St. Francis Health System,24
1316,Shriners Hospitals for Children-Greenville,28
1317,Self Regional Healthcare,22
1318,Prisma Health Greer Memorial Hospital,9
1319,Carolina Pines Regional Medical Center,8
1320,Carolina Center for Behavioral Health,27
1321,Hilton Head Hospital,4
1322,Prisma Health Baptist Parkridge Hospital,39
1323,MUSC Health Lancaster Medical Center,5
1324,Roper St. Francis Berkeley Hospital,0
1325,McLeod Health Loris,4
1326,McLeod Health Clarendon,2
1327,East Cooper Medical Center,29
1328,Midlands Regional Rehabilitation Hospital,15
1329,Encompass Health Rehabilitation Hospital of Bluffton,0
1330,Grand Strand Medical Center,17
1331,McLeod Health Cheraw,4
1332,Newberry County Memorial Hospital,9
1333,MUSC Health - Orangeburg,6
1334,AnMed Cannon,14
1335,Piedmont Medical Center,34
1336,Prisma Health Oconee Memorial Hospital,10
1337,Prisma Health Hillcrest Hospital,20
1338,Spartanburg Medical Center - Church Street Campus,35
1339,Prisma Health Tuomey Hospital,17
1340,Prisma Health North Greenville Hospital,12
1341,Union Medical Center,14
1342,Hampton Regional Medical Center,0
1343,Three Rivers Behavioral Health,16
1344,Colleton Medical Center,4
1345,Lexington Medical Center,64
1346,Springbrook Behavioral Health,2
1347,Spartanburg Rehabilitation Institute,11
1348,Rebound Behavioral Health,4
1349,Encompass Health Rehabilitation Hospital of Greenville,0
1350,"Tidelands Health Rehabilitation Hospital, an affiliate of Encompass Health",22
1351,MUSC Health Black River Medical Center,0
1352,Atrium Health Navicent Rehabilitation Hospital,32
1353,Peachford Behavioral Health System,44
1354,Southwell Medical,2
1355,St. Francis - Emory Healthcare,13
1356,Northeast Georgia Medical Center,47
1357,Bacon County Hospital and Health System,3
1358,Children's Healthcare of Atlanta,186
1359,Piedmont Newnan Hospital,13
1360,Piedmont Fayette Hospital,13
1361,Regency Hospital - Macon,18
1362,East Central Regional Hospital,20
1363,Columbus Specialty Hospital,51
1364,Phoebe Sumter Medical Center,7
1365,Select Specialty Hospital-Savannah,34
1366,Emory Hillandale Hospital,64
1367,Piedmont Athens Regional Medical Center,38
1368,Select Specialty Hospital-Augusta,47
1369,St. Mary's Health Care System,51
1370,Select Specialty Hospital Midtown Atlanta,432
1371,Emory University Hospital Midtown,726
1372,Grady Health System,537
1373,Northside Hospital,256
1374,Piedmont Atlanta Hospital,141
1375,Emory Saint Joseph's Hospital,131
1376,WellStar Windy Hill Hospital,129
1377,Shepherd Center,142
1378,Atlanta Veterans Affairs Medical Center,84
1379,Landmark Hospital of Athens,23
1380,RiverWoods Behavioral Health System,24
1381,Wellstar MCG Health,60
1382,SummitRidge Hospital,45
1383,Roosevelt Warm Springs Long Term Acute Care Hospital,0
1384,Doctors Hospital GA,26
1385,Piedmont Augusta,49
1386,"Walton Rehabilitation Hospital, an affiliate of Encompass Health",45
1387,Charlie Norwood Veterans Affairs Medical Center,23
1388,WellStar Cobb Hospital,93
1389,Anchor Hospital,7
1390,Memorial Hospital and Manor,4
1391,Appling Healthcare System,3
1392,Early Medical Center,1
1393,Blue Ridge Medical Center,3
1394,Northside Hospital Gwinnett/Duluth,93
1395,Higgins General Hospital,3
1396,Southeast Georgia Health System Brunswick Campus,6
1397,Archbold Grady,1
1398,AdventHealth Gordon,24
1399,Archbold Mitchell,1
1400,Dwight David Eisenhower Army Medical Center,20
1401,Winn Army Community Hospital,14
1402,Northside Hospital Cherokee,21
1403,Tanner Medical Center-Carrollton,39
1404,Piedmont Cartersville,51
1405,Emory Johns Creek Hospital,33
1406,AdventHealth Murray,6
1407,Atrium Health Floyd Polk Medical Center,0
1408,Piedmont Columbus Regional Northside,18
1409,Mountain Lakes Medical Center,2
1410,Evans Memorial Hospital,8
1411,Bleckley Memorial Hospital,3
1412,Piedmont Columbus Regional Midtown,48
1413,West Central Georgia Regional Hospital,8
1414,Miller County Hospital,3
1415,Crisp Regional Hospital,5
1416,Piedmont Newton Hospital,9
1417,Northside Hospital Forsyth,91
1418,WellStar Paulding Hospital,46
1419,City of Hope Atlanta,25
1420,Hamilton Medical Center,14
1421,Phoebe Putney Memorial Hospital,35
1422,Emory Decatur Hospital,77
1423,Georgia Regional Hospital at Atlanta,77
1424,Ridgeview Institute - Monroe,6
1425,Northeast Georgia Medical Center Habersham,7
1426,Northeast Georgia Medical Center Braselton,19
1427,Landmark Hospital of Savannah,42
1428,Donalsonville Hospital,1
1429,Fairview Park Hospital,8
1430,Lakeview Behavioral Health,65
1431,Coffee Regional Medical Center,6
1432,Veritas Collaborative GA,139
1433,Youth Villages Inner Harbour Campus,2
1434,Emory Long-Term Acute Care,74
1435,WellStar Douglas Hospital,79
1436,Rehabilitation Hospital of Henry,38
1437,Carl Vinson Veterans Affairs Medical Center,22
1438,Dodge County Hospital,7
1439,Putnam General Hospital,3
1440,Elbert Memorial Hospital,1
1441,Emory University Hospital,121
1442,Dorminy Medical Center,3
1443,Monroe County Hospital GA,4
1444,Benning Martin Army Community Hospital,14
1445,CHI Memorial Hospital - Georgia,3
1446,Atrium Health Navicent Peach,1
1447,St. Mary's Good Samaritan Hospital,2
1448,Wellstar Spalding Regional Hospital,24
1449,Taylor Regional Hospital GA,1
1450,Liberty Regional Medical Center,44
1451,Jeff Davis Hospital,0
1452,Chatuge Regional Hospital and Nursing Home,7
1453,Clinch Memorial Hospital,3
1454,Wellstar Sylvan Grove Hospital,3
1455,Piedmont Mountainside Hospital,20
1456,Wayne Memorial Hospital GA,14
1457,Devereux Advanced Behavioral Health Georgia,15
1458,Wellstar West Georgia Medical Center,5
1459,South Georgia Medical Center Lanier Campus,1
1460,Piedmont Macon,24
1461,Atrium Health Navicent The Medical Center,46
1462,Piedmont Macon North,11
1463,Morgan Medical Center,3
1464,WellStar Kennestone Hospital,74
1465,Atrium Health Navicent Baldwin,5
1466,Candler County Hospital,1
1467,Central State Hospital GA,2
1468,Turning Point Hospital,1
1469,Jenkins County Medical Center,0
1470,Piedmont Walton Hospital,18
1471,Flint River Hospital,3
1472,Jasper Memorial Hospital,2
1473,Colquitt Regional Medical Center,2
1474,South Georgia Medical Center Berrien Campus,2
1475,Southern Regional Medical Center,27
1476,Atrium Health Floyd Medical Center,40
1477,Optim Medical Center - Tattnall,0
1478,AdventHealth Redmond,19
1479,Southeast Georgia Health System Camden Campus,11
1480,Washington County Regional Medical Center,0
1481,Wellstar North Fulton Hospital,54
1482,Georgia Regional Hospital at Savannah,12
1483,Memorial Health University Medical Center,32
1484,Saint Simons by-the-Sea Hospital,11
1485,St. Joseph's Hospital GA,37
1486,Ridgeview Institute - Smyrna,69
1487,Piedmont Eastside Medical Center,49
1488,Candler Hospital-Savannah,34
1489,Effingham Health System,2
1490,East Georgia Regional Medical Center,38
1491,Willingway Hospital,4
1492,Piedmont Henry Hospital,34
1493,Emanuel Medical Center GA,4
1494,Optim Medical Center - Screven,3
1495,Phoebe Worth Medical Center,2
1496,Upson Regional Medical Center,5
1497,John D. Archbold Memorial Hospital,6
1498,Piedmont McDuffie,1
1499,Tift Regional Medical Center,10
1500,Stephens County Hospital,5
1501,South Georgia Medical Center,32
1502,Greenleaf Behavioral Health Hospital,9
1503,Memorial Health Meadows Hospital,4
1504,Tanner Medical Center-Villa Rica,9
1505,Roosevelt Warm Springs Rehabilitation and Specialty Hospitals,0
1506,Warm Springs Medical Center,1
1507,Houston Medical Center,37
1508,Wills Memorial Hospital,1
1509,Memorial Satilla Health,4
1510,Burke Medical Center,3
1511,Northeast Georgia Medical Center Barrow,16
1512,Houston Healthcare - Perry,2
1513,Coastal Harbor Treatment Center,21
1514,Union General Hospital GA,4
1515,Piedmont Rockdale Hospital,38
1516,Jefferson Hospital GA,2
1517,Irwin County Hospital,1
1518,Archbold Brooks,0
1519,St. Mary's Sacred Heart Hospital,10
1520,Emory Rehabilitation Hospital,117
1521,Encompass Health Rehabilitation Hospital of Savannah,23
1522,Encompass Health Rehabilitation Hospital of Newnan,9
1523,Northeast Georgia Medical Center Lumpkin,24
1524,Encompass Health Rehabilitation Hospital of Cumming,0
1525,DeSoto Memorial Hospital,7
1526,George E. Weems Memorial Hospital,13
1527,Leesburg Regional Medical Center,13
1528,AdventHealth Sebring,12
1529,Bartow Regional Medical Center,12
1530,Lower Keys Medical Center,5
1531,Encompass Health Rehabilitation Hospital of Largo,32
1532,Bay Pines Veterans Affairs Healthcare System,38
1533,West Palm Beach Veterans Affairs Medical Center,22
1534,Memorial Hospital West,80
1535,Lakeside Medical Center,4
1536,Calhoun Liberty Hospital,4
1537,Boca Raton Regional Hospital,65
1538,UF Health St. John's,45
1539,Doctors Memorial Hospital,4
1540,HCA Florida Woodmont Hospital,84
1541,West Boca Medical Center,60
1542,AdventHealth Fish Memorial,19
1543,HCA Florida Lawnwood Hospital,12
1544,Bethesda Hospital East,43
1545,Sarasota Memorial Hospital - Sarasota,7
1546,St. Joseph's Hospital FL,135
1547,HCA Florida Blake Hospital,14
1548,Halifax Health Medical Center of Daytona Beach,65
1549,Kindred Hospital North Florida,26
1550,AdventHealth Palm Coast,23
1551,Kindred Hospital Central Tampa,18
1552,Manatee Memorial Hospital,42
1553,Bravera Health Brooksville,12
1554,Cape Coral Hospital,34
1555,HCA Florida Brandon Hospital,56
1556,Springbrook Hospital,10
1557,HCA Florida JFK Hospital,27
1558,Encompass Health Rehabilitation Hospital of Miami,17
1559,Winter Haven Hospital,21
1560,Florida State Hospital,7
1561,Delray Medical Center,36
1562,UF Health Jacksonville,90
1563,Ascension Sacred Heart Emerald Coast,71
1564,Northwest Florida Community Hospital,2
1565,Melbourne Regional Medical Center,12
1566,Morton Plant Hospital,41
1567,Orlando Health South Lake Hospital,5
1568,Hendry Regional Medical Center,21
1569,Health First Cape Canaveral Hospital,7
1570,Windmoor Healthcare of Clearwater,62
1571,UF Health The Villages Hospital,10
1572,Physicians Regional - Pine Ridge,27
1573,Doctors Hospital FL,44
1574,Encompass Health Rehabilitation Hospital of Spring Hill,18
1575,Encompass Health Rehabilitation Hospital of Panama City,12
1576,Lakewood Ranch Medical Center,13
1577,Miami Veterans Affairs Healthcare System,261
1578,Memorial Hospital Miramar,43
1579,Centerstone Hospital,8
1580,West Gables Rehabilitation Hospital,220
1581,North Okaloosa Medical Center,29
1582,Select Specialty Hospital-Miami,210
1583,Bravera Health Seven Rivers,6
1584,Select Specialty Hospital-Orlando North,82
1585,AdventHealth Zephyrhills,22
1586,Select Specialty Hospital-Panama City,36
1587,St. Anthony's Rehabilitation Hospital,113
1588,Health First Palm Bay Hospital,12
1589,Suncoast Behavioral Health Center,40
1590,Kindred Hospital Ocala,38
1591,The Vines,51
1592,AdventHealth Dade City,4
1593,Ascension St. Vincent's Southside,48
1594,Select Specialty Hospital-Tallahassee,11
1595,Select Specialty Hospital-Pensacola,219
1596,Select Specialty Hospital-Palm Beach,52
1597,Select Specialty Hospital-Gainesville,47
1598,Broward Health Coral Springs,54
1599,Mease Countryside Hospital,15
1600,AdventHealth DeLand,4
1601,Mease Dunedin Hospital,30
1602,HCA Florida Westside Hospital,93
1603,Kindred Hospital the Palm Beaches,21
1604,AdventHealth Waterman,25
1605,Baptist Medical Center Nassau,12
1606,Cleveland Clinic Florida,104
1607,Broward Health Medical Center,147
1608,Broward Health,92
1609,BayCare Alliant Hospital,30
1610,PAM Specialty Hospital of Sarasota,44
1611,HCA Florida North Florida Hospital,45
1612,Holy Cross Hospital FL,96
1613,Fort Lauderdale Behavioral Health Center,67
1614,Lee Memorial Hospital,47
1615,Gulf Breeze Hospital,17
1616,HCA Florida Fort Walton-Destin Hospital,31
1617,Larkin Community Hospital Behavioral Health Services,95
1618,UF Health Rehab Hospital,47
1619,HCA Florida Aventura Hospital,110
1620,UF Health Shands Hospital,145
1621,AdventHealth Heart of Florida,22
1622,Hialeah Hospital,154
1623,Larkin Community Hospital-Palm Springs Campus,136
1624,Memorial Regional Hospital,93
1625,South Florida State Hospital,44
1626,Homestead Hospital,26
1627,HCA Florida Citrus Hospital,16
1628,Mariners Hospital,19
1629,Baptist Medical Center Jacksonville,141
1630,Brooks Rehabilitation Hospital,51
1631,Gulf Coast Medical Center,44
1632,Mayo Clinic Hospital in Florida,28
1633,HCA Florida Bayonet Point Hospital,16
1634,Ascension St. Vincent's Riverside,38
1635,River Point Behavioral Health,46
1636,AdventHealth Connerton,7
1637,Health First Viera Hospital,3
1638,Ascension Sacred Heart Gulf,1
1639,Wekiva Springs,23
1640,Central Florida Behavioral Hospital,47
1641,HCA Florida Memorial Hospital,45
1642,Naval Hospital Jacksonville,22
1643,Baptist Medical Center Beaches,11
1644,Aspire Health Partners,15
1645,Port St. Lucie Hospital,4
1646,West Kendall Baptist Hospital,55
1647,Emerald Coast Behavioral Hospital,20
1648,Eastside Psychiatric Hospital,20
1649,HCA Florida Osceola Hospital,43
1650,HCA Florida Lake City Hospital,46
1651,Reception and Medical Center,4
1652,Lake Butler Hospital,4
1653,Lakeland Regional Health Medical Center,14
1654,AdventHealth Lake Wales,15
1655,Lehigh Regional Medical Center,58
1656,HCA Florida Largo Hospital,28
1657,Madison County Memorial Hospital,4
1658,Ed Fraser Memorial Hospital,11
1659,Northeast Florida State Hospital,0
1660,Fishermen's Hospital,8
1661,HCA Florida Northwest Hospital,79
1662,Jackson Hospital,8
1663,HCA Florida Kendall Hospital,119
1664,Health First Holmes Regional Medical Center,9
1665,Circles of Care,26
1666,Miami Jewish Health,69
1667,HCA Florida Mercy Hospital,0
1668,Jackson Health System,271
1669,Baptist Hospital of Miami,49
1670,"Sea Pines Rehabilitation Hospital, an affiliate of Encompass Health",19
1671,Devereux Hospital and Children's Center of Florida,18
1672,UMHC-Sylvester Comprehensive Cancer Center,355
1673,North Shore Medical Center,90
1674,Nicklaus Children's Hospital,46
1675,Mount Sinai Medical Center,103
1676,Santa Rosa Medical Center,3
1677,AdventHealth New Smyrna Beach,19
1678,NCH Baker Hospital,47
1679,AdventHealth Ocala,38
1680,HCA Florida Twin Cities Hospital,11
1681,Morton Plant North Bay Hospital,37
1682,HCA Florida Raulerson Hospital,7
1683,St. Catherine's Rehabilitation Hospital,73
1684,The Willough at Naples,18
1685,HCA Florida Ocala Hospital,56
1686,AdventHealth Wesley Chapel,13
1687,HCA Florida Poinciana Hospital,5
1688,Nemours Children's Hospital,34
1689,AdventHealth Orlando,76
1690,Ascension St. Vincent's Clay County,34
1691,Orlando Health Orlando Regional Medical Center,157
1692,HCA Florida Orange Park Hospital,24
1693,North Florida/South Georgia Veteran's Health System,136
1694,Landmark Hospital of Southwest Florida,24
1695,Encompass Health Rehabilitation Hospital of Altamonte Springs,41
1696,Select Specialty Hospital-Miami Lakes,103
1697,AdventHealth Daytona Beach,28
1698,Oviedo Medical Center,29
1699,HCA Florida Putnam Hospital,10
1700,HCA Florida Palms West Hospital,17
1701,Encompass Health Rehabilitation Hospital of North Tampa,3
1702,Halifax Health/UF Health Medical Center of Deltona,3
1703,Encompass Health Rehabilitation Hospital of Pensacola,0
1704,UCF Lake Nona Medical Center,20
1705,HCA Florida University Hospital,0
1706,Sarasota Memorial Hospital - Venice,9
1707,Encompass Health Rehabilitation Hospital of Cape Coral,0
1708,Encompass Health Rehabilitation Hospital of Lakeland,0
1709,AdventHealth Palm Coast Parkway,0
1710,Memorial Hospital Pembroke,88
1711,Ascension St. Vincent’s St. Johns County,0
1712,BayCare Hospital Wesley Chapel,0
1713,Palm Beach Gardens Medical Center,28
1714,Ascension Sacred Heart Bay,36
1715,HCA Florida Gulf Coast Hospital,42
1716,Baptist Hospital,28
1717,HCA Florida West Hospital,33
1718,Ascension Sacred Heart Pensacola,227
1719,Naval Hospital Pensacola,15
1720,Doctors' Memorial Hospital,6
1721,South Florida Baptist Hospital,48
1722,HCA Florida St. Lucie Hospital,39
1723,Shorepoint Health Punta Gorda,10
1724,Broward Health North,100
1725,Shorepoint Health Port Charlotte,76
1726,HCA Florida Fawcett Hospital,87
1727,Rockledge Regional Medical Center,37
1728,Orlando Health St. Cloud Hospital,13
1729,Johns Hopkins All Children's Hospital,110
1730,Bayfront Health St. Petersburg,85
1731,HCA Florida Northside Hospital,71
1732,HCA Florida Pasadena Hospital,37
1733,St. Anthony's Hospital,96
1734,HCA Florida St. Petersburg Hospital,36
1735,HCA Florida Lake Monroe Hospital,21
1736,HCA Florida Sarasota Doctors Hospital,24
1737,Sebastian River Medical Center,2
1738,HCA Florida Highlands Hospital,3
1739,Encompass Health Rehabilitation Hospital of Sarasota,16
1740,Larkin Community Hospital-South Miami Campus,141
1741,South Miami Hospital,151
1742,HCA Florida Oak Hill Hospital,8
1743,Cleveland Clinic Martin North Hospital,9
1744,Encompass Health Rehabilitation Hospital of Sunrise,53
1745,Tallahassee Memorial HealthCare,55
1746,HCA Florida Capital Hospital,24
1747,Encompass Health Rehabilitation Hospital of Tallahassee,22
1748,Tampa General Hospital,228
1749,H. Lee Moffitt Cancer Center and Research Institute,125
1750,HCA Florida West Tampa Hospital,52
1751,Shriners Hospitals for Children-Tampa,111
1752,AdventHealth Tampa,132
1753,AdventHealth North Pinellas,18
1754,James A. Haley Veterans' Hospital-Tampa,102
1755,Parrish Medical Center,4
1756,U. S. Air Force Regional Hospital FL,1
1757,Cleveland Clinic Indian River Hospital,17
1758,AdventHealth Wauchula,10
1759,Encompass Health Rehabilitation Hospital of Treasure Coast,24
1760,Good Samaritan Medical Center FL,88
1761,Sunview Medical Center,34
1762,St. Mary's Medical Center FL,54
1763,Orlando Health - Health Central Hospital,33
1764,Wellington Regional Medical Center,92
1765,HCA Florida Englewood Hospital,2
1766,Jupiter Medical Center,43
1767,Coral Gables Hospital,102
1768,Palmetto General Hospital,207
1769,HCA Florida South Shore Hospital,6
1770,HCA Florida Trinity Hospital,22
1771,Kindred Hospital South Florida-Fort Lauderdale,72
1772,PAM Health Specialty Hospital of Jacksonville,73
1773,Jay Hospital,2
1774,Westchester General Hospital,222
1775,AdventHealth Carrollwood,56
1776,Kindred Hospital Bay Area-Tampa,29
1777,Kindred Hospital Melbourne,19
1778,Select Specialty Hospital-The Villages,4
1779,LifeStream Behavioral Center,35
1780,Park Royal Hospital,47
1781,Encompass Health Rehabilitation Hospital of Ocala,23
1782,"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",4
1783,Select Specialty Hospital Daytona Beach,28
1784,Select Specialty Hospital-Fort Myers,30
1785,North Tampa Behavioral Health,5
1786,Orlando VA Medical Center,21
1787,Palm Point Behavioral Health,5
1788,The Blackberry Center,10
1789,Encompass Health Rehabilitation Hospital of Clermont,0
1790,Encompass Health Rehabilitation Hospital of Jacksonville,0
1791,Rehabilitation Hospital of Naples,0
1792,Encompass Health Rehabilitation Hospital of St. Augustine,0
1793,Arrowhead Behavioral Health Hospital,47
1794,Belmont Pines Hospital,31
1795,The OSUCCC - James,139
1796,Cleveland Clinic Akron General,62
1797,Summa Health System – Akron Campus,104
1798,Mercy Health - Lorain Hospital,12
1799,Firelands Regional Health System,12
1800,OhioHealth Mansfield Hospital,4
1801,Blanchard Valley Hospital,3
1802,Cleveland Clinic South Pointe Hospital,34
1803,Trinity Health System,2
1804,Genesis HealthCare System,19
1805,Appalachian Behavioral Healthcare,14
1806,Upper Valley Medical Center,14
1807,Northcoast Behavioral Healthcare,7
1808,ProMedica Bay Park Hospital,16
1809,Institute for Orthopaedic Surgery,12
1810,Specialty Hospital of Lorain,18
1811,PAM Specialty Hospital of Dayton,14
1812,Holzer Medical Center - Jackson,4
1813,Mount Carmel New Albany Surgical Hospital,13
1814,Select Specialty Hospital-Cincinnati,90
1815,Mercy Health - Defiance Hospital,3
1816,Aultman Specialty Hospital,50
1817,Community Hospitals and Wellness Centers-Montpelier,2
1818,Kindred Hospital-Dayton,53
1819,Akron Children's Hospital,93
1820,Kindred Hospital Lima,18
1821,Select Specialty Hospital-Columbus,115
1822,Select Specialty Hospital-Youngstown,16
1823,Select Specialty Hospital of Southeast Ohio,13
1824,Select Specialty Hospital-Akron,73
1825,Ohio Hospital for Psychiatry,19
1826,Mercy Health - St. Elizabeth Boardman Hospital,15
1827,Lindner Center of HOPE,12
1828,Select Specialty Hospital-Canton,61
1829,Aultman Alliance Community Hospital,21
1830,OhioHealth Dublin Methodist Hospital,48
1831,University Hospitals Samaritan Medical Center,7
1832,Ashtabula County Medical Center,12
1833,Regency North Central Ohio - Cleveland East,59
1834,OhioHealth O'Bleness Hospital,16
1835,Mercy Health - Clermont Hospital,6
1836,WVU Medicine - Barnesville Hospital,1
1837,Mary Rutan Hospital,6
1838,"Bellevue Hospital, The",4
1839,Regency Hospital of Toledo,9
1840,Regency Hospital of Columbus,41
1841,University Hospitals Ahuja Medical Center,67
1842,Southwest General Health Center,23
1843,Northeast Ohio VA Healthcare System,78
1844,Three Gables Surgery Center,3
1845,Advanced Specialty Hospital of Toledo,13
1846,Bluffton Hospital,3
1847,Wood County Hospital,3
1848,Community Hospitals and Wellness Centers,2
1849,Bucyrus Community Hospital,10
1850,WVU Medicine - Harrison Community Hospital,0
1851,OhioHealth Southeastern Medical Center,2
1852,Aultman Hospital,50
1853,Select Specialty Hospital - Cleveland Fairhill,0
1854,Cleveland Clinic Mercy Hospital,61
1855,The Rehabilitation Institute of Ohio,64
1856,Ohio Valley Surgical Hospital,27
1857,Northwest Ohio Psychiatric Hospital,10
1858,Surgical Hospital at Southwoods,25
1859,Diley Ridge Medical Center,12
1860,Life Line Hospital,5
1861,University Hospitals Geauga Medical Center,11
1862,Adena Regional Medical Center,32
1863,Chillicothe Veterans Affairs Medical Center,1
1864,Bethesda North Hospital,33
1865,Cincinnati Children's Hospital Medical Center,96
1866,The Christ Hospital Health Network,52
1867,University of Cincinnati Medical Center,172
1868,Daniel Drake Center for Post Acute Care,19
1869,Good Samaritan Hospital OH,90
1870,Soin Medical Center,46
1871,Encompass Health Rehabilitation Hospital at Cincinnati,19
1872,The Woods at Parkside,10
1873,Mental Health Services for Clark and Madison Counties,15
1874,Mercy Health - West Hospital,34
1875,Access Hospital Dayton,15
1876,Summa Rehab Hospital,82
1877,Haven Behavioral Hospital of Dayton,64
1878,Columbus Springs Dublin,39
1879,Ridgeview Behavioral Hospital,0
1880,Beckett Springs,20
1881,OhioHealth Rehabilitation Hospital,115
1882,West Chester Hospital,40
1883,Mount Carmel Rehabilitation Hospital,51
1884,Kettering Health Troy,24
1885,Sojourn at Seneca Senior Behavioral Health,2
1886,University Hospitals Beachwood Medical Center,35
1887,Select Specialty Hospital - Boardman,28
1888,Encompass Health Rehabilitation Hospital of Toledo,30
1889,Summit Behavioral Healthcare,55
1890,Blueridge Vista Behavioral Health,29
1891,King's Daughters Medical Center Ohio,14
1892,Cleveland Clinic Rehabilitation Hospital,14
1893,UH Avon Rehabilitation Hospital,16
1894,UH Rehabilitation Hospital,17
1895,Cleveland Clinic Avon Hospital,35
1896,TriHealth Rehabilitation Hospital,78
1897,Rehabilitation Hospital of Northwest Ohio,30
1898,Highland Springs Hospital,22
1899,ClearVista Health and Wellness,12
1900,Avita Ontario Hospital,27
1901,Mercy Health - Anderson Hospital,7
1902,SUN Behavioral Columbus,70
1903,Nationwide Children's Hospital - Toledo,0
1904,Shriners Children's Ohio,140
1905,Cincinnati Veterans Affairs Medical Center,130
1906,OhioHealth Berger Hospital,7
1907,Riverview Health Institute,0
1908,Cleveland Clinic Children's Hospital for Rehabilitation,41
1909,MetroHealth Medical Center,119
1910,Cleveland Clinic,175
1911,Cleveland Clinic Euclid Hospital,15
1912,Cleveland Clinic Fairview Hospital,31
1913,Grace Hospital,131
1914,Cleveland Clinic Lutheran Hospital,117
1915,University Hospitals Parma Medical Center,36
1916,Mercy Health - Fairfield Hospital,18
1917,University Hospitals Cleveland Medical Center,104
1918,University Hospitals Rainbow Babies and Children's,161
1919,Cleveland Clinic Hillcrest Hospital,45
1920,Mercer Health,3
1921,Nationwide Children's Hospital,97
1922,OhioHealth Doctors Hospital,21
1923,Twin Valley Behavioral Healthcare,38
1924,OhioHealth Grant Medical Center,164
1925,Mount Carmel St. Ann's,55
1926,Ohio State University Wexner Medical Center,126
1927,OhioHealth Riverside Methodist Hospital,63
1928,University Hospitals Conneaut Medical Center,2
1929,Coshocton Regional Medical Center,3
1930,Dayton Children's Hospital,34
1931,Kettering Health Miamisburg,14
1932,Kettering Health Dayton,43
1933,Miami Valley Hospital,46
1934,Wright Patterson Medical Center,30
1935,Dayton Veterans Affairs Medical Center,13
