Hospital Name,Verizon
Health First Cape Canaveral Hospital,0
Windmoor Healthcare of Clearwater,2
UF Health The Villages Hospital,1
Physicians Regional - Pine Ridge,2
Doctors Hospital FL,0
Encompass Health Rehabilitation Hospital of Spring Hill,3
Encompass Health Rehabilitation Hospital of Panama City,1
Lakewood Ranch Medical Center,5
Miami Veterans Affairs Healthcare System,8
Memorial Hospital Miramar,2
Centerstone Hospital,1
West Gables Rehabilitation Hospital,12
North Okaloosa Medical Center,3
Select Specialty Hospital-Miami,5
Bravera Health Seven Rivers,1
Select Specialty Hospital-Orlando North,2
AdventHealth Zephyrhills,3
Select Specialty Hospital-Panama City,5
St. Anthony's Rehabilitation Hospital,2
Health First Palm Bay Hospital,0
Suncoast Behavioral Health Center,0
Kindred Hospital Ocala,2
The Vines,2
AdventHealth Dade City,0
Ascension St. Vincent's Southside,3
Select Specialty Hospital-Tallahassee,1
Select Specialty Hospital-Pensacola,26
Select Specialty Hospital-Palm Beach,3
Select Specialty Hospital-Gainesville,1
Broward Health Coral Springs,3
Mease Countryside Hospital,0
AdventHealth DeLand,1
Mease Dunedin Hospital,4
HCA Florida Westside Hospital,7
Kindred Hospital the Palm Beaches,0
AdventHealth Waterman,0
Baptist Medical Center Nassau,0
Cleveland Clinic Florida,9
Broward Health Medical Center,10
Broward Health,8
BayCare Alliant Hospital,4
PAM Specialty Hospital of Sarasota,7
HCA Florida North Florida Hospital,3
Holy Cross Hospital FL,2
Fort Lauderdale Behavioral Health Center,6
Lee Memorial Hospital,3
Gulf Breeze Hospital,0
HCA Florida Fort Walton-Destin Hospital,4
Larkin Community Hospital Behavioral Health Services,2
UF Health Rehab Hospital,1
HCA Florida Aventura Hospital,3
UF Health Shands Hospital,10
AdventHealth Heart of Florida,0
Hialeah Hospital,0
Larkin Community Hospital-Palm Springs Campus,0
Memorial Regional Hospital,3
South Florida State Hospital,0
Homestead Hospital,1
HCA Florida Citrus Hospital,3
Mariners Hospital,0
Baptist Medical Center Jacksonville,20
Brooks Rehabilitation Hospital,1
Gulf Coast Medical Center,0
Mayo Clinic Hospital in Florida,2
HCA Florida Bayonet Point Hospital,1
Ascension St. Vincent's Riverside,2
River Point Behavioral Health,1
AdventHealth Connerton,1
Health First Viera Hospital,0
Ascension Sacred Heart Gulf,0
Wekiva Springs,2
Central Florida Behavioral Hospital,6
HCA Florida Memorial Hospital,1
Naval Hospital Jacksonville,2
Baptist Medical Center Beaches,2
Aspire Health Partners,0
Port St. Lucie Hospital,0
West Kendall Baptist Hospital,0
Emerald Coast Behavioral Hospital,6
Eastside Psychiatric Hospital,2
HCA Florida Osceola Hospital,2
HCA Florida Lake City Hospital,10
Reception and Medical Center,1
Lake Butler Hospital,2
Lakeland Regional Health Medical Center,3
AdventHealth Lake Wales,2
Lehigh Regional Medical Center,1
HCA Florida Largo Hospital,2
Madison County Memorial Hospital,0
Ed Fraser Memorial Hospital,0
Northeast Florida State Hospital,0
Fishermen's Hospital,3
HCA Florida Northwest Hospital,0
Jackson Hospital,8
HCA Florida Kendall Hospital,1
Health First Holmes Regional Medical Center,1
Circles of Care,1
Miami Jewish Health,1
HCA Florida Mercy Hospital,0
Jackson Health System,14
Baptist Hospital of Miami,0
"Sea Pines Rehabilitation Hospital, an affiliate of Encompass Health",1
Devereux Hospital and Children's Center of Florida,1
UMHC-Sylvester Comprehensive Cancer Center,13
North Shore Medical Center,2
Nicklaus Children's Hospital,0
Mount Sinai Medical Center,4
Santa Rosa Medical Center,0
AdventHealth New Smyrna Beach,1
NCH Baker Hospital,4
AdventHealth Ocala,2
HCA Florida Twin Cities Hospital,0
Morton Plant North Bay Hospital,0
HCA Florida Raulerson Hospital,0
St. Catherine's Rehabilitation Hospital,1
The Willough at Naples,0
HCA Florida Ocala Hospital,2
AdventHealth Wesley Chapel,4
HCA Florida Poinciana Hospital,0
Nemours Children's Hospital,3
AdventHealth Orlando,2
Ascension St. Vincent's Clay County,1
Orlando Health Orlando Regional Medical Center,5
HCA Florida Orange Park Hospital,2
North Florida/South Georgia Veteran's Health System,15
Landmark Hospital of Southwest Florida,9
Encompass Health Rehabilitation Hospital of Altamonte Springs,1
Select Specialty Hospital-Miami Lakes,4
AdventHealth Daytona Beach,3
Oviedo Medical Center,2
HCA Florida Putnam Hospital,3
HCA Florida Palms West Hospital,2
Encompass Health Rehabilitation Hospital of North Tampa,1
Halifax Health/UF Health Medical Center of Deltona,0
Encompass Health Rehabilitation Hospital of Pensacola,0
UCF Lake Nona Medical Center,1
HCA Florida University Hospital,0
Sarasota Memorial Hospital - Venice,2
Encompass Health Rehabilitation Hospital of Cape Coral,0
Encompass Health Rehabilitation Hospital of Lakeland,0
AdventHealth Palm Coast Parkway,0
Memorial Hospital Pembroke,8
Ascension St. Vincent’s St. Johns County,0
BayCare Hospital Wesley Chapel,0
Palm Beach Gardens Medical Center,0
Ascension Sacred Heart Bay,5
HCA Florida Gulf Coast Hospital,18
Baptist Hospital,6
HCA Florida West Hospital,10
Ascension Sacred Heart Pensacola,33
Naval Hospital Pensacola,3
Doctors' Memorial Hospital,3
South Florida Baptist Hospital,8
HCA Florida St. Lucie Hospital,0
Shorepoint Health Punta Gorda,0
Broward Health North,0
Shorepoint Health Port Charlotte,3
HCA Florida Fawcett Hospital,3
Rockledge Regional Medical Center,1
Orlando Health St. Cloud Hospital,1
Johns Hopkins All Children's Hospital,26
Bayfront Health St. Petersburg,20
HCA Florida Northside Hospital,1
HCA Florida Pasadena Hospital,1
St. Anthony's Hospital,7
HCA Florida St. Petersburg Hospital,0
HCA Florida Lake Monroe Hospital,1
HCA Florida Sarasota Doctors Hospital,5
Sebastian River Medical Center,0
HCA Florida Highlands Hospital,0
Encompass Health Rehabilitation Hospital of Sarasota,2
Larkin Community Hospital-South Miami Campus,7
South Miami Hospital,7
HCA Florida Oak Hill Hospital,0
Cleveland Clinic Martin North Hospital,1
Encompass Health Rehabilitation Hospital of Sunrise,2
Tallahassee Memorial HealthCare,13
HCA Florida Capital Hospital,1
Encompass Health Rehabilitation Hospital of Tallahassee,4
Tampa General Hospital,28
H. Lee Moffitt Cancer Center and Research Institute,5
HCA Florida West Tampa Hospital,7
Shriners Hospitals for Children-Tampa,8
AdventHealth Tampa,5
AdventHealth North Pinellas,0
James A. Haley Veterans' Hospital-Tampa,2
Parrish Medical Center,0
U. S. Air Force Regional Hospital FL,0
Cleveland Clinic Indian River Hospital,1
AdventHealth Wauchula,3
Encompass Health Rehabilitation Hospital of Treasure Coast,4
Good Samaritan Medical Center FL,3
Sunview Medical Center,2
St. Mary's Medical Center FL,0
Orlando Health - Health Central Hospital,5
Wellington Regional Medical Center,5
HCA Florida Englewood Hospital,0
Jupiter Medical Center,1
Coral Gables Hospital,4
Palmetto General Hospital,4
HCA Florida South Shore Hospital,0
HCA Florida Trinity Hospital,1
Kindred Hospital South Florida-Fort Lauderdale,8
PAM Health Specialty Hospital of Jacksonville,4
Jay Hospital,0
Westchester General Hospital,11
AdventHealth Carrollwood,2
Kindred Hospital Bay Area-Tampa,4
Kindred Hospital Melbourne,5
Select Specialty Hospital-The Villages,0
LifeStream Behavioral Center,5
Park Royal Hospital,0
Encompass Health Rehabilitation Hospital of Ocala,3
"Encompass Health Rehabilitation Hospital, an affiliate of Martin Health",0
Select Specialty Hospital Daytona Beach,3
Select Specialty Hospital-Fort Myers,2
North Tampa Behavioral Health,2
Orlando VA Medical Center,3
Palm Point Behavioral Health,0
The Blackberry Center,2
Encompass Health Rehabilitation Hospital of Clermont,0
Encompass Health Rehabilitation Hospital of Jacksonville,0
Rehabilitation Hospital of Naples,0
Encompass Health Rehabilitation Hospital of St. Augustine,0
Arrowhead Behavioral Health Hospital,5
Belmont Pines Hospital,5
The OSUCCC - James,35
Cleveland Clinic Akron General,16
Summa Health System – Akron Campus,22
Mercy Health - Lorain Hospital,1
Firelands Regional Health System,2
OhioHealth Mansfield Hospital,2
Blanchard Valley Hospital,2
Cleveland Clinic South Pointe Hospital,2
Trinity Health System,0
Genesis HealthCare System,3
Appalachian Behavioral Healthcare,3
Upper Valley Medical Center,3
Northcoast Behavioral Healthcare,1
ProMedica Bay Park Hospital,3
Institute for Orthopaedic Surgery,1
Specialty Hospital of Lorain,3
PAM Specialty Hospital of Dayton,4
Holzer Medical Center - Jackson,0
Mount Carmel New Albany Surgical Hospital,1
Select Specialty Hospital-Cincinnati,20
Mercy Health - Defiance Hospital,2
Aultman Specialty Hospital,4
Community Hospitals and Wellness Centers-Montpelier,0
Kindred Hospital-Dayton,10
Akron Children's Hospital,18
Kindred Hospital Lima,6
Select Specialty Hospital-Columbus,35
Select Specialty Hospital-Youngstown,0
Select Specialty Hospital of Southeast Ohio,0
Select Specialty Hospital-Akron,14
Ohio Hospital for Psychiatry,1
Mercy Health - St. Elizabeth Boardman Hospital,1
Lindner Center of HOPE,0
Select Specialty Hospital-Canton,11
Aultman Alliance Community Hospital,5
OhioHealth Dublin Methodist Hospital,7
University Hospitals Samaritan Medical Center,1
Ashtabula County Medical Center,3
Regency North Central Ohio - Cleveland East,8
OhioHealth O'Bleness Hospital,4
Mercy Health - Clermont Hospital,1
WVU Medicine - Barnesville Hospital,1
Mary Rutan Hospital,1
"Bellevue Hospital, The",0
Regency Hospital of Toledo,3
Regency Hospital of Columbus,1
University Hospitals Ahuja Medical Center,11
Southwest General Health Center,5
Northeast Ohio VA Healthcare System,6
Three Gables Surgery Center,2
Advanced Specialty Hospital of Toledo,3
Bluffton Hospital,3
Wood County Hospital,1
Community Hospitals and Wellness Centers,0
Bucyrus Community Hospital,1
WVU Medicine - Harrison Community Hospital,0
OhioHealth Southeastern Medical Center,0
Aultman Hospital,4
Select Specialty Hospital - Cleveland Fairhill,0
Cleveland Clinic Mercy Hospital,11
The Rehabilitation Institute of Ohio,13
Ohio Valley Surgical Hospital,5
Northwest Ohio Psychiatric Hospital,3
Surgical Hospital at Southwoods,4
Diley Ridge Medical Center,1
Life Line Hospital,0
University Hospitals Geauga Medical Center,2
Adena Regional Medical Center,2
Chillicothe Veterans Affairs Medical Center,0
Bethesda North Hospital,3
Cincinnati Children's Hospital Medical Center,10
The Christ Hospital Health Network,6
University of Cincinnati Medical Center,27
Daniel Drake Center for Post Acute Care,2
Good Samaritan Hospital OH,20
Soin Medical Center,7
Encompass Health Rehabilitation Hospital at Cincinnati,2
The Woods at Parkside,4
Mental Health Services for Clark and Madison Counties,7
Mercy Health - West Hospital,6
Access Hospital Dayton,3
Summa Rehab Hospital,23
Haven Behavioral Hospital of Dayton,13
Columbus Springs Dublin,10
Ridgeview Behavioral Hospital,0
Beckett Springs,3
OhioHealth Rehabilitation Hospital,35
West Chester Hospital,3
Mount Carmel Rehabilitation Hospital,9
Kettering Health Troy,5
Sojourn at Seneca Senior Behavioral Health,1
University Hospitals Beachwood Medical Center,3
Select Specialty Hospital - Boardman,2
Encompass Health Rehabilitation Hospital of Toledo,6
Summit Behavioral Healthcare,10
Blueridge Vista Behavioral Health,10
King's Daughters Medical Center Ohio,3
Cleveland Clinic Rehabilitation Hospital,1
UH Avon Rehabilitation Hospital,7
UH Rehabilitation Hospital,1
Cleveland Clinic Avon Hospital,1
TriHealth Rehabilitation Hospital,14
Rehabilitation Hospital of Northwest Ohio,7
Highland Springs Hospital,3
ClearVista Health and Wellness,2
Avita Ontario Hospital,5
Mercy Health - Anderson Hospital,1
SUN Behavioral Columbus,10
Nationwide Children's Hospital - Toledo,0
Shriners Children's Ohio,15
Cincinnati Veterans Affairs Medical Center,28
OhioHealth Berger Hospital,2
Riverview Health Institute,0
Cleveland Clinic Children's Hospital for Rehabilitation,1
MetroHealth Medical Center,13
Cleveland Clinic,23
Cleveland Clinic Euclid Hospital,1
Cleveland Clinic Fairview Hospital,7
Grace Hospital,16
Cleveland Clinic Lutheran Hospital,13
University Hospitals Parma Medical Center,2
Mercy Health - Fairfield Hospital,1
University Hospitals Cleveland Medical Center,8
University Hospitals Rainbow Babies and Children's,10
Cleveland Clinic Hillcrest Hospital,3
Mercer Health,0
Nationwide Children's Hospital,9
OhioHealth Doctors Hospital,1
Twin Valley Behavioral Healthcare,3
OhioHealth Grant Medical Center,34
Mount Carmel St. Ann's,7
Ohio State University Wexner Medical Center,28
OhioHealth Riverside Methodist Hospital,12
University Hospitals Conneaut Medical Center,0
Coshocton Regional Medical Center,3
Dayton Children's Hospital,1
Kettering Health Miamisburg,4
Kettering Health Dayton,0
Miami Valley Hospital,7
Wright Patterson Medical Center,4
Dayton Veterans Affairs Medical Center,2
ProMedica Defiance Regional Hospital,1
OhioHealth Grady Memorial Hospital,3
Trinity Hospital Twin City,6
Cleveland Clinic Union Hospital,3
East Liverpool City Hospital,3
University Hospitals Elyria Medical Center,2
ProMedica Fostoria Community Hospital,2
ProMedica Memorial Hospital,0
Galion Community Hospital,1
Holzer Medical Center,1
Cleveland Clinic Marymount Hospital,4
University Hospitals Geneva Medical Center,0
Adena Greenfield Medical Center,2
Wayne HealthCare,0
Kettering Health Hamilton,4
Community Memorial Hospital OH,1
Highland District Hospital,2
Kettering Health Main Campus,2
OhioHealth Hardin Memorial Hospital,4
Fairfield Medical Center,0
Lima Memorial Health System,4
Mercy Health - St. Rita's Medical Center,6
Cleveland Clinic Akron General Lodi Hospital,3
Hocking Valley Community Hospital,1
Madison Health,2
Marietta Memorial Hospital,0
OhioHealth Marion General Hospital,3
Memorial Health,1
Heartland Behavioral Healthcare,1
Cleveland Clinic Medina Hospital,4
Atrium Medical Center OH,0
Pomerene Hospital,0
Morrow County Hospital,0
Knox Community Hospital,0
Henry County Hospital,0
Licking Memorial Hospital,6
Fisher-Titus Medical Center,2
Mercy Health - Allen Hospital,0
Aultman Orrville Hospital,1
McCullough-Hyde Memorial Hospital/TriHealth,9
University Hospitals Lake Health,0
Paulding County Hospital,0
Magruder Memorial Hospital,4
Southern Ohio Medical Center,0
University Hospitals Portage Medical Center,4
Glenbeigh Hospital and Outpatient Centers,0
Grand Lake Health System,0
Salem Regional Medical Center,3
OhioHealth Shelby Hospital,0
Wilson Memorial Hospital,5
Mercy Health - Springfield Regional Medical Center,6
Mercy Health - Tiffin Hospital,1
The University of Toledo Medical Center,4
Mercy Health - St. Vincent Medical Center,8
ProMedica Toledo Hospital,16
Wyandot Memorial Hospital,0
Mercy Health - Urbana Hospital,1
OhioHealth Van Wert Hospital,2
Mercy Health - St. Joseph Warren Hospital,1
Hillside Rehabilitation Hospital,0
Trumbull Regional Medical Center,5
Adena Fayette Medical Center,1
Fulton County Health Center,2
Adena Pike Medical Center,1
Adams County Regional Medical Center,2
Windsor-Laurelwood Center for Behavioral Medicine,7
Mercy Health - Willard Hospital,1
CMH Regional Health System,0
Wooster Community Hospital,4
Kettering Health Greene Memorial,2
Mercy Health - St. Elizabeth Youngstown Hospital,0
Mount Carmel East Hospital,6
University Hospitals St. John Medical Center,2
The Jewish Hospital - Mercy Health,8
Western Reserve Hospital,5
Selby General Hospital,0
Rehabilitation Hospital of Indiana,2
Franciscan Health Hammond,2
Community Hospital Anderson,1
Kindred Hospital-Indianapolis,5
Rehabilitation Hospital of Fort Wayne,10
Southern Indiana Rehabilitation Hospital,8
Michiana Behavioral Health Center,0
Indiana University Health University Hospital,12
Veterans Affairs Northern Indiana Health Care System,1
Community Hospital North,4
Franciscan Health Michigan City,4
Ascension St. Vincent Evansville,4
Franciscan Health Indianapolis,13
Franciscan Healthcare Munster,4
Bluffton Regional Medical Center,0
The Women's Hospital,5
Dupont Hospital,4
Ascension St. Vincent Heart Center,12
Regency Hospital of Northwest Indiana,3
Bloomington Meadows Hospital,4
Parkview Ortho Hospital,5
Wellstone Regional Hospital,0
Indiana University Health West Hospital,3
Ascension St. Vincent Anderson,0
Kindred Hospital Indianapolis North,10
Select Specialty Hospital-Evansville,20
Cameron Memorial Community Hospital,0
OrthoIndy Hospital,11
Indiana University Health North Hospital,5
Central Indiana AMG Specialty Hospital,11
Monroe Hospital,1
Otis R. Bowen Center for Human Services,2
Pinnacle Hospital,1
Medical Behavioral Hospital of Mishawaka,0
Ascension St. Vincent Seton Specialty Hospital,2
Indiana University Health Arnett Hospital,6
Parkview DeKalb Hospital,0
Margaret Mary Health,4
Indiana University Health Bloomington Hospital,17
Ascension St. Vincent Warrick,0
Ascension St. Vincent Clay Hospital,1
Community Hospital of Bremen,0
Ascension St. Vincent Carmel Hospital,3
Regional Mental Health Center,0
Union Hospital Clinton,0
Orthopaedic Hospital of Lutheran Health Network,13
Parkview Whitley Hospital,5
Physicians' Medical Center,0
Columbus Regional Hospital,5
Harrison County Hospital,0
Franciscan Health Crawfordsville,0
Franciscan Health Crown Point,0
Hendricks Regional Health,0
Adams Memorial Hospital,0
Franciscan Health Dyer,2
St. Catherine Hospital IN,3
Elkhart General Hospital,0
Ascension St. Vincent Mercy,1
Unity Physicians Hospital,4
AMG Specialty Hospital Northwest Indiana,1
Community Mental Health Center,0
Radiant Health,6
Harsha Behavioral Center,5
Deaconess Midtown Hospital,7
Evansville State Hospital,2
Encompass Health Deaconess Rehabilitation Hospital,2
Lutheran Hospital of Indiana,14
Franciscan Health Lafayette East,1
Lutheran Downtown Hospital,19
Indiana University Health Frankfort,2
Johnson Memorial Hospital IN,1
Franciscan Health Carmel,11
4C Health,0
Meridian Health Services,5
Ascension St. Vincent Fishers,4
Lafayette Regional Rehabilitation Hospital,1
Options Behavioral Health System,8
NeuroDiagnostic Institute and Advanced Treatment Center,2
NeuroBehavioral Hospital of NW Indiana/Greater Chicago,0
Methodist Hospitals,1
Goshen Health,4
Oaklawn Psychiatric Center,0
NeuroPsychiatric Hospital of Indianapolis,9
Putnam County Hospital,0
Hancock Regional Hospital,0
Decatur County Memorial Hospital,0
Community Rehabilitation Hospital South,6
Indianapolis Rehabilitation Hospital,0
Community Rehabilitation Hospital North,0
Valle Vista Health System,4
St. Mary Medical Center IN,0
Parkview Huntington Hospital,0
Community Hospital East,1
Community Fairbanks Recovery Center,11
Eskenazi Health,16
Ascension St. Vincent Indianapolis Hospital,7
Community Hospital South,13
Richard L. Roudebush Veterans Affairs Medical Center,10
Memorial Hospital and Health Care Center,0
Norton Clark Hospital,17
Parkview Noble Hospital,1
Northwest Health - Starke,1
Community Howard Regional Health,3
Ascension St. Vincent Kokomo,1
River Bend Hospital,0
Parkview LaGrange Hospital,2
Northwest Health - La Porte,4
St. Elizabeth Dearborn,0
Witham Health Services,0
Greene County General Hospital,0
Logansport State Hospital,0
Logansport Memorial Hospital,0
King's Daughters' Health,0
Marion Health,6
Indiana University Health White Memorial Hospital,0
Franciscan Health Mooresville,3
Indiana University Health Ball Memorial Hospital,11
Baptist Health Floyd,7
Community Hospital IN,3
Henry Community Health,1
Riverview Health,5
Madison State Hospital,1
Ascension St. Vincent Jennings,2
Indiana University Health Paoli Hospital,2
Dukes Memorial Hospital,0
Plymouth Medical Center,0
Indiana University Health Jay Hospital,6
Deaconess Gibson Hospital,0
Franciscan Health Rensselear,0
Reid Health,1
Richmond State Hospital,0
Woodlawn Hospital,0
Rush Memorial Hospital,3
Ascension St. Vincent Salem,2
Norton Scott Hospital,0
Schneck Medical Center,3
Major Hospital,4
Memorial Hospital of South Bend,5
Saint Joseph Health System,4
Sullivan County Community Hospital,0
Perry County Memorial Hospital IN,0
Hamilton Center,4
Terre Haute Regional Hospital,4
Union Hospital,5
Indiana University Health Tipton Hospital,0
Northwest Health - Porter,2
Good Samaritan Hospital IN,4
Parkview Wabash Hospital,0
Lutheran Kosciusko Hospital,3
Daviess Community Hospital,1
Ascension St. Vincent Williamsport,0
Pulaski Memorial Hospital,0
Ascension St. Vincent Randolph,1
Indiana University Health Bedford Hospital,5
Evansville Psychiatric Children Center,1
Sycamore Springs,2
Parkview Regional Medical Center,4
NorthEastern Center,0
Porter-Starke Services,4
Brentwood Springs,0
Doctors NeuroPsychiatric Hospital,1
Indiana Spine Hospital,8
Bloomington Regional Rehabilitation Hospital,0
Rehabilitation Hospital of Northern Indiana,0
OSF Heart of Mary Medical Center,8
Genesis Medical Center-Aledo,2
Ascension Alexian Brothers Behavioral Health Hospital,0
Alton Memorial Hospital,0
Streamwood Behavioral Healthcare System,4
Endeavor Health Linden Oaks Hospital,6
UnityPoint Health - Trinity Rock Island,5
Blessing Hospital,5
Northwestern Medicine Central DuPage Hospital,4
Alton Mental Health Center,0
Endeavor Health Evanston Hospital,6
Jesse Brown VA Medical Center,15
Advocate Illinois Masonic Medical Center,37
Van Matre Encompass Health Rehabilitation Hospital,0
Franciscan Health Olympia Fields,1
Kindred Chicago Lakeshore,0
OSF HealthCare Saint Anthony's Health Center,0
Chicago Behavioral Hospital,2
UChicago Medicine AdventHealth Bolingbrook,2
Lincoln Prairie Behavioral Health Center,1
Choate Mental Health Center,3
Union County Hospital,4
Rush-Copley Medical Center,0
Ascension Mercy,2
OSF Transitional Care Hospital,4
Advocate Good Shepherd Hospital,0
Memorial Hospital Belleville,4
HSHS St. Elizabeth's Hospital,3
Franklin Hospital District,0
MacNeal Hospital,3
Carle BroMenn Medical Center,4
OSF St. Joseph Medical Center,11
HSHS St. Joseph's Hospital IL,0
Graham Hospital,5
Memorial Hospital of Carbondale,12
Carlinville Area Hospital,0
Thomas H. Boyd Memorial Hospital,0
Memorial Hospital IL,0
SSM Health St. Mary's Hospital Centralia,0
The Pavilion,2
Sarah Bush Lincoln Health Center,2
Memorial Hospital,1
Thorek Memorial Hospital,37
Advocate Lutheran General Hospital,3
Thorek Memorial Hospital Andersonville,14
Garfield Park Behavioral Hospital,10
Mercyhealth Javon Bea Hospital - Riverside Campus,0
Silver Oaks Behavioral Hospital,3
Anderson Rehabilitation Institute,1
Encompass Health Rehabilitation Institute of Libertyville,0
"Rehabilitation Institute of Southern Illinois, LLC, The",0
Montrose Behavioral Health Hospital,12
"Quad Cities Rehabilitation Institute, The",3
Mercy Crystal Lake Hospital and Medical Center,0
Mira Neuro Behavioral Health Care,0
Northwestern Memorial Hospital,121
Chicago-Read Mental Health Center,7
University of Illinois Hospital,17
Ann & Robert H. Lurie Children's Hospital of Chicago,121
John H. Stroger Jr. Hospital of Cook County,19
Holy Cross Hospital IL,6
Saint Anthony Hospital,11
Jackson Park Hospital and Medical Center,10
La Rabida Children's Hospital,9
Loretto Hospital,3
Weiss Memorial Hospital,14
Loyola University Medical Center,3
Insight Hospital and Medical Center,29
Mount Sinai Hospital,17
Community First Medical Center,2
Humboldt Park Health,8
Rush University Medical Center,32
Provident Hospital of Cook County,6
Shirley Ryan AbilityLab,90
Schwab Rehabilitation Hospital,16
Ascension Resurrection,15
Hartgrove Behavioral Health System,0
Roseland Community Hospital,1
St. Bernard Hospital and Health Care Center,7
Northwestern Medicine Palos Hospital,2
Ascension Saint Joseph - Chicago,34
Ascension Saint Mary - Chicago,13
Shriners Hospitals for Children-Chicago,5
Advocate Trinity Hospital,2
South Shore Hospital IL,2
Endeavor Health Swedish Hospital,11
University of Chicago Medical Center,10
OSF Sacred Heart Medical Center,1
Warner Hospital and Health Services,1
Veterans Affairs Illiana Health Care System,2
Decatur Memorial Hospital,3
HSHS St. Mary's Hospital,2
Northwestern Medicine Kishwaukee Hospital,0
Ascension Holy Family,4
Katherine Shaw Bethea Hospital,2
Advocate Good Samaritan Hospital,2
Captain James A. Lovell Federal Health Care Center,3
Marshall Browning Hospital,1
"Genesis Medical Center, Silvis",2
Touchette Regional Hospital,0
HSHS St. Anthony's Memorial Hospital,1
Ferrell Hospital,1
Elgin Mental Health Center,5
Ascension Saint Joseph - Elgin,1
Advocate Sherman Hospital,1
Ascension Alexian Brothers,2
Endeavor Health Elmhurst Hospital,13
Carle Eureka Hospital,0
Ascension Saint Francis,6
OSF Healthcare Little Company of Mary Medical Center,1
Fairfield Memorial Hospital,0
Clay County Hospital IL,0
Riveredge Hospital,3
FHN Memorial Hospital,8
Midwest Medical Center,0
OSF St. Mary Medical Center,1
Hammond-Henry Hospital,1
Northwestern Medicine Delnor Hospital,1
Gibson Area Hospital and Health Services,0
UChicago Medicine AdventHealth GlenOaks,2
Gateway Regional Medical Center,3
HSHS Holy Family Hospital in Greenville,0
Harrisburg Medical Center,2
Mercyhealth Hospital and Medical Center - Harvard,1
UChicago Medicine Ingalls Memorial,2
Mason District Hospital,2
Advocate South Suburban Hospital,2
Herrin Hospital,0
HSHS St. Joseph's Hospital,2
Hillsboro Area Hospital,0
"Edward Hines, Jr. Veterans Affairs Hospital",3
Hopedale Medical Complex,0
UChicago Medicine AdventHealth Hinsdale,1
RML Specialty Hospital,3
Ascension St. Alexius,0
Carle Hoopeston Regional Health Center,0
Jacksonville Memorial Hospital,0
Jersey Community Hospital,0
Ascension Saint Joseph - Joliet,4
Silver Cross Hospital,2
Riverside Medical Center IL,0
Ascension St. Mary - Kankakee,3
OSF Saint Luke Medical Center,1
UChicago Medicine AdventHealth La Grange,1
Northwestern Medicine Lake Forest Hospital,3
Lawrence County Memorial Hospital,2
Advocate Condell Medical Center,0
Lincoln Memorial Hospital,0
HSHS St. Francis Hospital,0
Northwestern Medicine McHenry,3
McDonough District Hospital,2
Heartland Regional Medical Center,4
Marion Veterans Affairs Medical Center,4
Anderson Hospital,1
Hamilton Memorial Hospital District,1
Chester Mental Health Center,0
OSF Saint Paul Medical Center,1
Massac Memorial Hospital,2
OSF Holy Family Medical Center,1
Kirby Medical Center,2
Morris Hospital & Healthcare Centers,1
Morrison Community Hospital,1
Wabash General Hospital,0
SSM Health Good Samaritan Hospital,4
Crossroads Community Hospital,5
St. Joseph Memorial Hospital,2
Endeavor Health Edward Hospital,3
Washington County Hospital IL,1
Kindred Hospital Chicago-Northlake,4
Advocate Christ Medical Center,5
Rush Oak Park Hospital,6
West Suburban Medical Center,5
Gottlieb Memorial Hospital,0
Carle Richland Memorial Hospital,2
OSF Saint Elizabeth Medical Center,0
Endeavor Health Northwest Community Hospital,0
Pana Community Hospital,0
Paris Community Hospital,0
Carle Health Pekin Hospital,6
Carle Health Methodist Hospital,11
Carle Health Proctor Hospital,0
OSF Saint Francis Medical Center,10
Pinckneyville Community Hospital,0
Illini Community Hospital,0
OSF Saint James - John W. Albrecht Medical Center,0
OSF Saint Clare Medical Center,0
Red Bud Regional Hospital,1
Crawford Memorial Hospital,1
Rochelle Community Hospital,0
OSF Saint Anthony Medical Center,2
UW Health SwedishAmerican Hospital,4
Hardin County General Hospital,0
Sarah D. Culbertson Memorial Hospital,0
Salem Township Hospital,0
Northwestern Medicine Valley West Hospital,1
HSHS Good Shepherd Hospital,0
Sparta Community Hospital,0
Springfield Memorial Hospital,4
Elizabeth Parsons Ware Packard Mental Health Center,1
HSHS St. John's Hospital,10
Community Hospital of Staunton,0
CGH Medical Center,1
Kindred Hospital-Sycamore,1
Taylorville Memorial Hospital,2
Carle Foundation Hospital,4
SBL Fayette County Hospital and Long Term Care,4
Iroquois Memorial Hospital and Resident Home,0
Lake Behavioral Hospital,2
Vista Medical Center East,0
Northwestern Medicine Marianjoy Rehabilitation Hospital,3
City of Hope Chicago,4
John J. Madden Mental Health Center,5
Duane L. Waters Hospital,1
"Havenwyck Hospital, Inc.",2
"Corewell Health's Beaumont Hospital, Wayne",2
McLaren Greater Lansing,0
Munson Medical Center,6
Aspirus Iron River Hospital,2
Ascension Borgess Hospital,2
Ascension Genesys Hospital,2
McLaren Bay Special Care,3
Corewell Health Butterworth Hospital,18
Covenant HealthCare,1
Trinity Health Muskegon Hospital,0
Corewell Health Greenville Hospital,6
DMC Harper University Hospital,12
Ascension Borgess Allegan Hospital,1
Select Specialty Hospital - Flint,1
Select Specialty Hospital - Saginaw,1
Select Specialty Hospital - Downriver,2
Select Specialty Hospital - Macomb County,1
MyMichigan Medical Center Alma,2
Select Specialty Hospital - Ann Arbor,1
Karmanos Cancer Center,13
