,Hospital Name,Nearby Cell Towers
1155,Atrium Health's Carolinas Medical Center,0,0,29
1156,Atrium Health University City,0,0,11
1157,Novant Health Presbyterian Medical Center,0,0,44
1158,Atrium Health's Carolinas Rehabilitation,0,0,27
1159,Cherokee Indian Hospital,0,0,0
1160,Sampson Regional Medical Center,0,0,2
1161,Duke University Hospital,0,0,6
1162,Atrium Health Cabarrus,0,0,13
1163,Lifebrite Community Hospital of Stokes,0,0,0
1164,Harnett Health System,0,0,0
1165,UNC Health Blue Ridge,0,0,5
1166,Novant Health Mint Hill Medical Center,0,0,7
1167,Durham Veterans Affairs Medical Center,0,0,7
1168,Duke Regional Hospital,0,0,4
1169,ECU Health Chowan Hospital,0,0,2
1170,Hoke Hospital,0,0,0
1171,Sentara Albemarle Medical Center,0,0,7
1172,Veritas Collaborative,0,0,2
1173,Cape Fear Valley Bladen County Hospital,0,0,0
1174,Hugh Chatham Health,0,0,0
1175,Novant Health Ballantyne Medical Center,0,0,0
1176,Appalachian Regional Behavioral Health,0,0,0
1177,Highsmith-Rainey Specialty Hospital,0,0,8
1178,Fayetteville Veterans Affairs Medical Center,0,0,2
1179,AdventHealth Hendersonville,0,0,7
1180,Womack Army Medical Center,0,0,0
1181,Angel Medical Center,0,0,0
1182,CaroMont Regional Medical Center,0,0,10
1183,Novant Health Charlotte Orthopaedic Hospital,0,0,29
1184,Cherry Hospital,0,0,5
1185,UNC Health Wayne,0,0,0
1186,Kindred Hospital-Greensboro,0,0,7
1187,ECU Health Medical Center,0,0,0
1188,Walter B. Jones Alcohol and Drug Abuse Treatment Center,0,0,0
1189,Maria Parham Health,0,0,2
1190,UNC Health Pardee,0,0,4
1191,Catawba Valley Medical Center,0,0,0
1192,Highlands-Cashiers Hospital,0,0,0
1193,High Point Medical Center,0,0,0
1194,Brynn Marr Hospital,0,0,2
1195,Onslow Memorial Hospital,0,0,3
1196,Ashe Memorial Hospital,0,0,0
1197,ECU Health Duplin Hospital,0,0,0
1198,UNC Health Lenoir,0,0,0
1199,Scotland Health Care System,0,0,0
1200,UNC Health Rockingham,0,0,0
1201,UNC Health Caldwell,0,0,6
1202,Atrium Health Wake Forest Baptist Lexington Medical Center,0,0,3
1203,Atrium Health Lincoln,0,0,1
1204,UNC Health Southeastern,0,0,4
1205,Mission Hospital McDowell,0,0,0
1206,Atrium Health Wake Forest Baptist Davie Medical Center,0,0,0
1207,Atrium Health Union,0,0,1
1208,Lake Norman Regional Medical Center,0,0,5
1209,Carteret Health Care,0,0,19
1210,Broughton Hospital,0,0,7
1211,Northern Regional Hospital,0,0,0
1212,Erlanger Western Carolina Hospital,0,0,9
1213,CarolinaEast Health System,0,0,0
1214,Atrium Health Wake Forest Baptist Wilkes Medical Center,0,0,0
1215,Charles George Veterans Affairs Medical Center,0,0,1
1216,Granville Health System,0,0,0
1217,FirstHealth Moore Regional Hospital,0,0,0
1218,Washington Regional Medical Center,0,0,0
1219,Central Prison Hospital,0,0,37
1220,Holly Hill Hospital,0,0,17
1221,Duke Raleigh Hospital,0,0,19
1222,WakeMed Cary Hospital,0,0,18
1223,"Larry B. Zieverink, Sr. Alcoholism Treatment Center",0,0,11
1224,UNC Health Rex,0,0,11
1225,ECU Health North Hospital,0,0,0
1226,UNC Health Nash,0,0,0
1227,Person Memorial Hospital,0,0,2
1228,Rutherford Regional Health System,0,0,0
1229,Novant Health Rowan Medical Center,0,0,0
1230,W. G. (Bill) Heffner Veterans Affairs Medical Center,0,0,0
1231,Novant Health Brunswick Medical Center,0,0,8
1232,Central Carolina Hospital,0,0,0
1233,Atrium Health Cleveland,0,0,0
1234,UNC Health Chatham,0,0,0
1235,UNC Health Johnston,0,0,0
1236,Dosher Memorial Hospital,0,0,0
1237,Alleghany Health,0,0,0
1238,Blue Ridge Regional Hospital,0,0,0
1239,Davis Regional Medical Center,0,0,3
1240,Iredell Health System,0,0,4
1241,Harris Regional Hospital,0,0,3
1242,ECU Health Edgecombe Hospital,0,0,0
1243,Novant Health Thomasville Medical Center,0,0,0
1244,FirstHealth Montgomery Memorial Hospital,0,0,0
1245,St. Luke's Hospital,0,0,0
1246,Atrium Health Anson,0,0,1
1247,ECU Health Beaufort Hospital,0,0,1
1248,Haywood Regional Medical Center,0,0,2
1249,Columbus Regional Healthcare System,0,0,0
1250,Wilmington Treatment Center,0,0,3
1251,Wilson Medical Center,0,0,0
1252,ECU Health Bertie Hospital,0,0,1
1253,Novant Health Forsyth Medical Center,0,0,1
1254,Novant Health Medical Park Hospital,0,0,1
1255,Old Vineyard Behavioral Health Services,0,0,10
1256,Atrium Health Wake Forest Baptist,0,0,2
1257,Strategic Behavioral Health - Raleigh,0,0,5
1258,Carolina Dunes Behavioral Health,0,0,0
1259,Triangle Springs Hospital,0,0,8
1260,Veritas Collaborative,0,0,10
1261,"Novant Health Rehabilitation Hospital, an affiliate of Encompass Health",0,0,0
1262,Prisma Health Laurens County Hospital,0,0,0
1263,Encompass Health Rehabilitation Hospital of Columbia,0,0,2
1264,William J. McCord Adolescent Treatment Facility,0,0,0
1265,Aiken Regional Medical Centers,0,0,0
1266,McLeod Regional Medical Center,0,0,0
1267,Abbeville Area Medical Center,0,0,0
1268,MUSC Health Florence Medical Center,0,0,0
1269,Encompass Health Rehabilitation Hospital of Florence,0,0,0
1270,MUSC Health Marion Medical Center,0,0,0
1271,Spartanburg Hospital for Restorative Care,0,0,0
1272,Regency Hospital of Florence,0,0,0
1273,Tidelands Waccamaw Community Hospital,0,0,3
1274,Encompass Health Rehabilitation Hospital of Rock Hill,0,0,0
1275,AnMed Rehabilitation Hospital,0,0,0
1276,"MUSC Health Rehabilitation Hospital, an affiliate of Encompass Health",0,0,2
1277,Coastal Carolina Hospital,0,0,51
1278,Regency Hospital of Greenville,0,0,0
1279,ContinueCARE Hospital at Palmetto Health Baptist,0,0,4
1280,Vibra Hospital of Charleston,0,0,14
1281,Patrick B. Harris Psychiatric Hospital,0,0,0
1282,AnMed Medical Center,0,0,0
1283,Lighthouse Behavioral Health Hospital,0,0,0
1284,Greenwood Regional Rehabilitation Hospital,0,0,0
1285,Prisma Health Patewood Hospital,0,0,13
1286,Pelham Medical Center,0,0,0
1287,Roper St. Francis Mount Pleasant Hospital,0,0,10
1288,Beaufort Memorial Hospital,0,0,0
1289,Naval Hospital Beaufort,0,0,0
1290,MUSC Health Kershaw Medical Center,0,0,0
1291,MUSC Health University Medical Center,0,0,14
1292,Roper Hospital,0,2,11
1293,Palmetto Lowcountry Behavioral Health,0,0,11
1294,Bon Secours St. Francis Hospital,0,0,8
1295,Ralph H. Johnson Veterans Affairs Medical Center,0,0,14
1296,MUSC Health Chester Medical Center,0,0,0
1297,Morris Village Alcohol and Drug Addiction Treatment Center,0,0,0
1298,G. Werber Bryan Psychiatric Hospital,0,0,0
1299,Prisma Health Richland Hospital,0,0,2
1300,MUSC Health Columbia Medical Center Downtown,0,0,8
1301,Prisma Health Baptist Hospital,0,0,4
1302,South Carolina Department of Corrections Hospital,0,0,0
1303,Columbia VA Health Care System,0,0,0
1304,William S. Hall Psychiatric Institute,0,0,0
1305,Conway Medical Center,0,0,0
1306,Trident Medical Center,0,0,3
1307,McLeod Health Dillon,0,0,0
1308,Edgefield County Healthcare,0,0,0
1309,Prisma Health Baptist Easley Hospital,0,0,0
1310,Allendale County Hospital,0,0,0
1311,Moncrief Army Community Hospital,0,0,5
1312,Cherokee Medical Center,0,0,0
1313,Tidelands Georgetown Memorial Hospital,0,0,2
1314,Prisma Health Greenville Memorial Hospital,0,0,1
1315,Bon Secours St. Francis Health System,0,0,0
1316,Shriners Hospitals for Children-Greenville,0,0,1
1317,Self Regional Healthcare,0,0,0
1318,Prisma Health Greer Memorial Hospital,0,0,0
1319,Carolina Pines Regional Medical Center,0,0,0
1320,Carolina Center for Behavioral Health,0,0,2
1321,Hilton Head Hospital,0,0,1
1322,Prisma Health Baptist Parkridge Hospital,0,0,6
1323,MUSC Health Lancaster Medical Center,0,0,0
1324,Roper St. Francis Berkeley Hospital,0,0,0
1325,McLeod Health Loris,0,0,0
1326,McLeod Health Clarendon,0,0,0
1327,East Cooper Medical Center,0,0,14
1328,Midlands Regional Rehabilitation Hospital,0,0,3
1329,Encompass Health Rehabilitation Hospital of Bluffton,0,0,0
1330,Grand Strand Medical Center,0,0,3
1331,McLeod Health Cheraw,0,0,0
1332,Newberry County Memorial Hospital,0,0,0
1333,MUSC Health - Orangeburg,0,0,0
1334,AnMed Cannon,0,0,0
1335,Piedmont Medical Center,0,0,0
1336,Prisma Health Oconee Memorial Hospital,0,0,0
1337,Prisma Health Hillcrest Hospital,0,0,3
1338,Spartanburg Medical Center - Church Street Campus,0,0,0
1339,Prisma Health Tuomey Hospital,0,0,0
1340,Prisma Health North Greenville Hospital,0,0,0
1341,Union Medical Center,0,0,0
1342,Hampton Regional Medical Center,0,0,0
1343,Three Rivers Behavioral Health,0,0,3
1344,Colleton Medical Center,0,0,0
1345,Lexington Medical Center,0,0,9
1346,Springbrook Behavioral Health,0,0,0
1347,Spartanburg Rehabilitation Institute,0,0,0
1348,Rebound Behavioral Health,0,0,0
1349,Encompass Health Rehabilitation Hospital of Greenville,0,0,0
1350,"Tidelands Health Rehabilitation Hospital, an affiliate of Encompass Health",0,0,3
1351,MUSC Health Black River Medical Center,0,0,0
1352,Atrium Health Navicent Rehabilitation Hospital,0,0,3
1353,Peachford Behavioral Health System,0,0,1
1354,Southwell Medical,0,0,0
1355,St. Francis - Emory Healthcare,0,0,10
1356,Northeast Georgia Medical Center,0,0,0
1357,Bacon County Hospital and Health System,0,0,0
1358,Children's Healthcare of Atlanta,0,0,10
1359,Piedmont Newnan Hospital,0,0,5
1360,Piedmont Fayette Hospital,0,0,0
1361,Regency Hospital - Macon,0,1,6
1362,East Central Regional Hospital,0,0,1
1363,Columbus Specialty Hospital,0,0,6
1364,Phoebe Sumter Medical Center,0,0,0
1365,Select Specialty Hospital-Savannah,0,0,0
1366,Emory Hillandale Hospital,0,0,8
1367,Piedmont Athens Regional Medical Center,0,0,0
1368,Select Specialty Hospital-Augusta,0,0,3
1369,St. Mary's Health Care System,0,0,0
1370,Select Specialty Hospital Midtown Atlanta,0,0,12
1371,Emory University Hospital Midtown,0,0,28
1372,Grady Health System,0,0,55
1373,Northside Hospital,0,0,12
1374,Piedmont Atlanta Hospital,0,0,1
1375,Emory Saint Joseph's Hospital,0,0,7
1376,WellStar Windy Hill Hospital,0,0,12
1377,Shepherd Center,0,0,1
1378,Atlanta Veterans Affairs Medical Center,0,3,3
1379,Landmark Hospital of Athens,0,0,0
1380,RiverWoods Behavioral Health System,0,0,1
1381,Wellstar MCG Health,0,0,2
1382,SummitRidge Hospital,0,0,3
1383,Roosevelt Warm Springs Long Term Acute Care Hospital,0,0,1
1384,Doctors Hospital,0,0,5
1385,Piedmont Augusta,0,0,3
1386,"Walton Rehabilitation Hospital, an affiliate of Encompass Health",0,0,5
1387,Charlie Norwood Veterans Affairs Medical Center,0,0,0
1388,WellStar Cobb Hospital,0,0,0
1389,Anchor Hospital,0,0,2
1390,Memorial Hospital and Manor,0,0,0
1391,Appling Healthcare System,0,0,0
1392,Early Medical Center,0,0,0
1393,Blue Ridge Medical Center,0,0,0
1394,Northside Hospital Gwinnett/Duluth,0,0,9
1395,Higgins General Hospital,0,0,0
1396,Southeast Georgia Health System Brunswick Campus,0,0,3
1397,Archbold Grady,0,0,0
1398,AdventHealth Gordon,0,0,3
1399,Archbold Mitchell,0,0,0
1400,Dwight David Eisenhower Army Medical Center,0,0,0
1401,Winn Army Community Hospital,0,0,0
1402,Northside Hospital Cherokee,0,0,3
1403,Tanner Medical Center-Carrollton,0,0,0
1404,Piedmont Cartersville,0,0,0
1405,Emory Johns Creek Hospital,0,0,0
1406,AdventHealth Murray,0,0,0
1407,Atrium Health Floyd Polk Medical Center,0,0,0
1408,Piedmont Columbus Regional Northside,0,0,8
1409,Mountain Lakes Medical Center,0,0,4
1410,Evans Memorial Hospital,0,0,0
1411,Bleckley Memorial Hospital,0,0,0
1412,Piedmont Columbus Regional Midtown,0,0,4
1413,West Central Georgia Regional Hospital,0,0,0
1414,Miller County Hospital,0,0,0
1415,Crisp Regional Hospital,0,0,3
1416,Piedmont Newton Hospital,0,0,0
1417,Northside Hospital Forsyth,0,0,14
1418,WellStar Paulding Hospital,0,0,0
1419,City of Hope Atlanta,0,0,5
1420,Hamilton Medical Center,0,0,0
1421,Phoebe Putney Memorial Hospital,0,0,0
1422,Emory Decatur Hospital,0,0,0
1423,Georgia Regional Hospital at Atlanta,0,0,11
1424,Ridgeview Institute - Monroe,0,0,0
1425,Northeast Georgia Medical Center Habersham,0,0,0
1426,Northeast Georgia Medical Center Braselton,0,0,0
1427,Landmark Hospital of Savannah,0,0,2
1428,Donalsonville Hospital,0,0,0
1429,Fairview Park Hospital,0,0,0
1430,Lakeview Behavioral Health,0,0,0
1431,Coffee Regional Medical Center,0,0,0
1432,Veritas Collaborative,0,0,5
1433,Youth Villages Inner Harbour Campus,0,0,0
1434,Emory Long-Term Acute Care,0,0,0
1435,WellStar Douglas Hospital,0,0,12
1436,Rehabilitation Hospital of Henry,0,0,4
1437,Carl Vinson Veterans Affairs Medical Center,0,0,0
1438,Dodge County Hospital,0,0,0
1439,Putnam General Hospital,0,0,1
1440,Elbert Memorial Hospital,0,0,0
1441,Emory University Hospital,0,0,0
1442,Dorminy Medical Center,0,0,0
1443,Monroe County Hospital,0,0,0
1444,Benning Martin Army Community Hospital,0,0,0
1445,CHI Memorial Hospital - Georgia,0,0,0
1446,Atrium Health Navicent Peach,0,0,0
1447,St. Mary's Good Samaritan Hospital,0,0,2
1448,Wellstar Spalding Regional Hospital,0,0,0
1449,Taylor Regional Hospital,0,0,0
1450,Liberty Regional Medical Center,0,0,0
1451,Jeff Davis Hospital,0,0,0
1452,Chatuge Regional Hospital and Nursing Home,0,0,2
1453,Clinch Memorial Hospital,0,0,0
1454,Wellstar Sylvan Grove Hospital,0,0,0
1455,Piedmont Mountainside Hospital,0,0,0
1456,Wayne Memorial Hospital,0,0,2
1457,Devereux Advanced Behavioral Health Georgia,0,0,2
1458,Wellstar West Georgia Medical Center,0,0,2
1459,South Georgia Medical Center Lanier Campus,0,0,0
1460,Piedmont Macon,0,0,8
1461,Atrium Health Navicent The Medical Center,0,0,3
1462,Piedmont Macon North,0,0,0
1463,Morgan Medical Center,0,0,0
1464,WellStar Kennestone Hospital,0,0,1
1465,Atrium Health Navicent Baldwin,0,0,0
1466,Candler County Hospital,0,0,0
1467,Central State Hospital,0,0,0
1468,Turning Point Hospital,0,0,0
1469,Jenkins County Medical Center,0,0,0
1470,Piedmont Walton Hospital,0,0,0
1471,Flint River Hospital,0,0,0
1472,Jasper Memorial Hospital,0,0,0
1473,Colquitt Regional Medical Center,0,0,0
1474,South Georgia Medical Center Berrien Campus,0,0,0
1475,Southern Regional Medical Center,0,0,1
1476,Atrium Health Floyd Medical Center,0,0,0
1477,Optim Medical Center - Tattnall,0,0,0
1478,AdventHealth Redmond,0,0,2
1479,Southeast Georgia Health System Camden Campus,0,0,4
1480,Washington County Regional Medical Center,0,0,0
1481,Wellstar North Fulton Hospital,0,0,0
1482,Georgia Regional Hospital at Savannah,0,0,8
1483,Memorial Health University Medical Center,0,0,6
1484,Saint Simons by-the-Sea Hospital,0,0,0
1485,St. Joseph's Hospital,0,0,0
1486,Ridgeview Institute - Smyrna,0,0,0
1487,Piedmont Eastside Medical Center,0,0,5
1488,Candler Hospital-Savannah,0,0,0
1489,Effingham Health System,0,0,0
1490,East Georgia Regional Medical Center,0,0,1
1491,Willingway Hospital,0,0,0
1492,Piedmont Henry Hospital,0,0,4
1493,Emanuel Medical Center,0,0,0
1494,Optim Medical Center - Screven,0,0,0
1495,Phoebe Worth Medical Center,0,0,0
1496,Upson Regional Medical Center,0,0,0
1497,John D. Archbold Memorial Hospital,0,0,0
1498,Piedmont McDuffie,0,0,0
1499,Tift Regional Medical Center,0,0,0
1500,Stephens County Hospital,0,0,0
1501,South Georgia Medical Center,0,0,0
1502,Greenleaf Behavioral Health Hospital,0,0,0
1503,Memorial Health Meadows Hospital,0,0,0
1504,Tanner Medical Center-Villa Rica,0,0,0
1505,Roosevelt Warm Springs Rehabilitation and Specialty Hospitals,0,0,1
1506,Warm Springs Medical Center,0,0,1
1507,Houston Medical Center,0,0,0
1508,Wills Memorial Hospital,0,0,0
1509,Memorial Satilla Health,0,0,0
1510,Burke Medical Center,0,0,0
1511,Northeast Georgia Medical Center Barrow,0,0,0
1512,Houston Healthcare - Perry,0,0,0
1513,Coastal Harbor Treatment Center,0,0,0
1514,Union General Hospital,0,0,11
1515,Piedmont Rockdale Hospital,0,0,0
1516,Jefferson Hospital,0,0,0
1517,Irwin County Hospital,0,0,3
1518,Archbold Brooks,0,0,0
1519,St. Mary's Sacred Heart Hospital,0,0,3
1520,Emory Rehabilitation Hospital,0,0,0
1521,Encompass Health Rehabilitation Hospital of Savannah,0,0,0
1522,Encompass Health Rehabilitation Hospital of Newnan,0,0,3
1523,Northeast Georgia Medical Center Lumpkin,0,0,0
1524,Encompass Health Rehabilitation Hospital of Cumming,0,0,0
1525,DeSoto Memorial Hospital,0,0,6
1526,George E. Weems Memorial Hospital,0,0,0
1527,Leesburg Regional Medical Center,0,0,0
1528,AdventHealth Sebring,0,0,2
1529,Bartow Regional Medical Center,0,0,5
1530,Lower Keys Medical Center,0,0,6
1531,Encompass Health Rehabilitation Hospital of Largo,0,0,4
1532,Bay Pines Veterans Affairs Healthcare System,0,0,1
1533,West Palm Beach Veterans Affairs Medical Center,0,0,5
1534,Memorial Hospital West,0,0,14
1535,Lakeside Medical Center,0,0,5
1536,Calhoun Liberty Hospital,0,0,0
1537,Boca Raton Regional Hospital,0,0,0
1538,UF Health St. John's,0,0,5
1539,Doctors Memorial Hospital,0,0,2
1540,HCA Florida Woodmont Hospital,0,0,0
1541,West Boca Medical Center,0,2,9
1542,AdventHealth Fish Memorial,0,0,9
1543,HCA Florida Lawnwood Hospital,0,0,0
1544,Bethesda Hospital East,0,0,3
1545,Sarasota Memorial Hospital - Sarasota,0,0,1
1546,St. Joseph's Hospital,0,0,2
1547,HCA Florida Blake Hospital,0,0,1
1548,Halifax Health Medical Center of Daytona Beach,0,0,4
1549,Kindred Hospital North Florida,0,0,1
1550,AdventHealth Palm Coast,0,0,19
1551,Kindred Hospital Central Tampa,0,0,0
1552,Manatee Memorial Hospital,0,1,9
1553,Bravera Health Brooksville,0,0,2
1554,Cape Coral Hospital,0,0,20
1555,HCA Florida Brandon Hospital,0,0,0
1556,Springbrook Hospital,0,0,1
1557,HCA Florida JFK Hospital,0,0,0
1558,Encompass Health Rehabilitation Hospital of Miami,0,0,0
1559,Winter Haven Hospital,0,0,9
1560,Florida State Hospital,0,0,0
1561,Delray Medical Center,0,0,0
1562,UF Health Jacksonville,0,0,21
1563,Ascension Sacred Heart Emerald Coast,0,43,21
1564,Northwest Florida Community Hospital,0,0,0
1565,Melbourne Regional Medical Center,0,0,0
1566,Morton Plant Hospital,0,0,0
1567,Orlando Health South Lake Hospital,0,0,5
1568,Hendry Regional Medical Center,0,0,6
1569,Health First Cape Canaveral Hospital,0,0,5
1570,Windmoor Healthcare of Clearwater,0,0,0
1571,UF Health The Villages Hospital,0,0,0
1572,Physicians Regional - Pine Ridge,0,0,5
1573,Doctors Hospital,0,0,2
1574,Encompass Health Rehabilitation Hospital of Spring Hill,0,0,0
1575,Encompass Health Rehabilitation Hospital of Panama City,0,0,2
1576,Lakewood Ranch Medical Center,0,0,0
1577,Miami Veterans Affairs Healthcare System,0,0,86
1578,Memorial Hospital Miramar,0,0,0
1579,Centerstone Hospital,0,0,2
1580,West Gables Rehabilitation Hospital,0,0,5
1581,North Okaloosa Medical Center,0,0,11
1582,Select Specialty Hospital-Miami,0,0,15
1583,Bravera Health Seven Rivers,0,0,0
1584,Select Specialty Hospital-Orlando North,0,0,26
1585,AdventHealth Zephyrhills,0,0,3
1586,Select Specialty Hospital-Panama City,2,4,15
1587,St. Anthony's Rehabilitation Hospital,0,0,15
1588,Health First Palm Bay Hospital,0,0,2
1589,Suncoast Behavioral Health Center,0,0,0
1590,Kindred Hospital Ocala,0,0,3
1591,The Vines,0,0,3
1592,AdventHealth Dade City,0,0,0
1593,Ascension St. Vincent's Southside,0,0,9
1594,Select Specialty Hospital-Tallahassee,0,0,3
1595,Select Specialty Hospital-Pensacola,0,0,109
1596,Select Specialty Hospital-Palm Beach,0,0,0
1597,Select Specialty Hospital-Gainesville,0,0,8
1598,Broward Health Coral Springs,0,0,0
1599,Mease Countryside Hospital,0,0,0
1600,AdventHealth DeLand,0,0,0
1601,Mease Dunedin Hospital,0,0,0
1602,HCA Florida Westside Hospital,0,0,4
1603,Kindred Hospital the Palm Beaches,0,0,7
1604,AdventHealth Waterman,0,0,8
1605,Baptist Medical Center Nassau,0,0,0
1606,Cleveland Clinic Florida,0,0,4
1607,Broward Health Medical Center,0,0,9
1608,Broward Health,0,0,0
1609,BayCare Alliant Hospital,0,0,0
1610,PAM Specialty Hospital of Sarasota,0,0,7
1611,HCA Florida North Florida Hospital,0,0,10
1612,Holy Cross Hospital,0,0,0
1613,Fort Lauderdale Behavioral Health Center,0,0,0
1614,Lee Memorial Hospital,0,0,23
1615,Gulf Breeze Hospital,0,0,9
1616,HCA Florida Fort Walton-Destin Hospital,0,0,30
1617,Larkin Community Hospital Behavioral Health Services,0,0,9
1618,UF Health Rehab Hospital,0,0,8
1619,HCA Florida Aventura Hospital,0,0,6
1620,UF Health Shands Hospital,0,0,0
1621,AdventHealth Heart of Florida,0,0,6
1622,Hialeah Hospital,0,0,27
1623,Larkin Community Hospital-Palm Springs Campus,0,0,15
1624,Memorial Regional Hospital,0,0,9
1625,South Florida State Hospital,0,0,9
1626,Homestead Hospital,0,0,6
1627,HCA Florida Citrus Hospital,0,0,0
1628,Mariners Hospital,0,0,6
1629,Baptist Medical Center Jacksonville,0,1,41
1630,Brooks Rehabilitation Hospital,0,0,14
1631,Gulf Coast Medical Center,0,0,28
1632,Mayo Clinic Hospital in Florida,0,0,2
1633,HCA Florida Bayonet Point Hospital,0,0,2
1634,Ascension St. Vincent's Riverside,0,0,9
1635,River Point Behavioral Health,0,3,9
1636,AdventHealth Connerton,0,0,0
1637,Health First Viera Hospital,0,0,0
1638,Ascension Sacred Heart Gulf,0,0,0
1639,Wekiva Springs,0,0,11
1640,Central Florida Behavioral Hospital,0,1,10
1641,HCA Florida Memorial Hospital,0,0,10
1642,Naval Hospital Jacksonville,0,0,0
1643,Baptist Medical Center Beaches,0,0,4
1644,Aspire Health Partners,0,0,0
1645,Port St. Lucie Hospital,0,0,0
1646,West Kendall Baptist Hospital,0,0,0
1647,Emerald Coast Behavioral Hospital,0,0,4
1648,Eastside Psychiatric Hospital,0,0,2
1649,HCA Florida Osceola Hospital,0,0,16
1650,HCA Florida Lake City Hospital,0,0,11
1651,Reception and Medical Center,0,0,0
1652,Lake Butler Hospital,0,0,0
1653,Lakeland Regional Health Medical Center,0,0,6
1654,AdventHealth Lake Wales,0,0,4
1655,Lehigh Regional Medical Center,0,0,29
1656,HCA Florida Largo Hospital,0,0,4
1657,Madison County Memorial Hospital,0,0,0
1658,Ed Fraser Memorial Hospital,0,0,0
1659,Northeast Florida State Hospital,0,0,0
1660,Fishermen's Hospital,0,0,0
1661,HCA Florida Northwest Hospital,0,0,8
1662,Jackson Hospital,0,0,1
1663,HCA Florida Kendall Hospital,0,0,14
1664,Health First Holmes Regional Medical Center,0,0,4
1665,Circles of Care,0,0,13
1666,Miami Jewish Health,0,0,9
1667,HCA Florida Mercy Hospital,0,0,0
1668,Jackson Health System,0,0,90
1669,Baptist Hospital of Miami,0,0,0
1670,"Sea Pines Rehabilitation Hospital, an affiliate of Encompass Health",0,0,5
1671,Devereux Hospital and Children's Center of Florida,0,0,2
1672,UMHC-Sylvester Comprehensive Cancer Center,0,4,89
1673,North Shore Medical Center,0,0,20
1674,Nicklaus Children's Hospital,0,0,1
1675,Mount Sinai Medical Center,0,1,16
1676,Santa Rosa Medical Center,0,0,3
1677,AdventHealth New Smyrna Beach,0,0,8
1678,NCH Baker Hospital,0,0,2
1679,AdventHealth Ocala,0,0,3
1680,HCA Florida Twin Cities Hospital,0,0,7
1681,Morton Plant North Bay Hospital,0,0,2
1682,HCA Florida Raulerson Hospital,0,0,1
1683,St. Catherine's Rehabilitation Hospital,0,0,13
1684,The Willough at Naples,0,0,2
1685,HCA Florida Ocala Hospital,0,0,2
1686,AdventHealth Wesley Chapel,0,0,6
1687,HCA Florida Poinciana Hospital,0,0,0
1688,Nemours Children's Hospital,0,0,0
1689,AdventHealth Orlando,0,0,28
1690,Ascension St. Vincent's Clay County,0,0,1
1691,Orlando Health Orlando Regional Medical Center,0,53,44
1692,HCA Florida Orange Park Hospital,0,0,0
1693,North Florida/South Georgia Veteran's Health System,0,0,1
1694,Landmark Hospital of Southwest Florida,0,0,13
1695,Encompass Health Rehabilitation Hospital of Altamonte Springs,0,0,16
1696,Select Specialty Hospital-Miami Lakes,0,0,2
1697,AdventHealth Daytona Beach,0,1,12
1698,Oviedo Medical Center,0,0,9
1699,HCA Florida Putnam Hospital,0,0,0
1700,HCA Florida Palms West Hospital,0,0,12
1701,Encompass Health Rehabilitation Hospital of North Tampa,0,0,0
1702,Halifax Health/UF Health Medical Center of Deltona,0,0,6
1703,Encompass Health Rehabilitation Hospital of Pensacola,0,0,0
1704,UCF Lake Nona Medical Center,0,0,2
1705,HCA Florida University Hospital,0,0,0
1706,Sarasota Memorial Hospital - Venice,0,0,3
1707,Encompass Health Rehabilitation Hospital of Cape Coral,0,0,0
1708,Encompass Health Rehabilitation Hospital of Lakeland,0,0,0
1709,AdventHealth Palm Coast Parkway,0,0,0
1710,Memorial Hospital Pembroke,0,0,3
1711,Ascension St. Vincent’s St. Johns County,0,0,0
1712,BayCare Hospital Wesley Chapel,0,0,0
1713,Palm Beach Gardens Medical Center,0,0,14
1714,Ascension Sacred Heart Bay,2,4,15
1715,HCA Florida Gulf Coast Hospital,0,0,0
1716,Baptist Hospital,0,1,8
1717,HCA Florida West Hospital,0,0,15
1718,Ascension Sacred Heart Pensacola,0,22,82
1719,Naval Hospital Pensacola,0,0,3
1720,Doctors' Memorial Hospital,0,0,1
1721,South Florida Baptist Hospital,0,0,0
1722,HCA Florida St. Lucie Hospital,0,0,2
1723,Shorepoint Health Punta Gorda,0,0,1
1724,Broward Health North,0,0,43
1725,Shorepoint Health Port Charlotte,0,0,4
1726,HCA Florida Fawcett Hospital,0,0,8
1727,Rockledge Regional Medical Center,0,0,4
1728,Orlando Health St. Cloud Hospital,0,0,1
1729,Johns Hopkins All Children's Hospital,0,0,13
1730,Bayfront Health St. Petersburg,0,0,13
1731,HCA Florida Northside Hospital,0,0,1
1732,HCA Florida Pasadena Hospital,0,0,0
1733,St. Anthony's Hospital,0,0,6
1734,HCA Florida St. Petersburg Hospital,0,0,0
1735,HCA Florida Lake Monroe Hospital,0,1,0
1736,HCA Florida Sarasota Doctors Hospital,0,0,0
1737,Sebastian River Medical Center,0,0,0
1738,HCA Florida Highlands Hospital,0,0,0
1739,Encompass Health Rehabilitation Hospital of Sarasota,0,0,6
1740,Larkin Community Hospital-South Miami Campus,0,0,23
1741,South Miami Hospital,0,1,12
1742,HCA Florida Oak Hill Hospital,0,0,0
1743,Cleveland Clinic Martin North Hospital,0,0,2
1744,Encompass Health Rehabilitation Hospital of Sunrise,0,0,0
1745,Tallahassee Memorial HealthCare,0,0,0
1746,HCA Florida Capital Hospital,0,0,2
1747,Encompass Health Rehabilitation Hospital of Tallahassee,0,0,5
1748,Tampa General Hospital,0,0,3
