From Current Year File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL HOSPITALS WITH SELECTED DATA FIELDS (FY2022 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: AHA DataQuery™, FY2022/Current Year Data. Copyrighted and licensed by Health Forum LLC, an American Hospital Association company, Chicago, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List created by Alyssa Vincent on May 3, 2024, AHA Resource Center, (312) 422-2008, avincent@aha.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We used the most current information available, which includes 2022 data; some hospitals added since the 2022 survey was completed will not have complete data. Additionally, some hospitals may have closed and have been removed from the data.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,AHA ID,Medicare Provider ID,Hospital Name,Address,City,State,Zip,Area code,Local telephone number,Web address,Contract managed hospital,Management organization name,Management organization city,Management organization state,Community hospital designation for Stats,Census Bureau codes,County,Latitude,Longitude,Control / Ownership Type,Operates subsidiary corps.,Primary Service,System ID,System Name,System Address,System City,System State,System Zip,System phone,System Primary Contact,System Contact Title,Chief Admin. Name,Air ambulance services - hospital,Air ambulance services - health system,Air ambulance services - joint venture,Ambulance services,Ambulance services - health system,Ambulance services - joint venture,Trauma center certified level,Does your hospital/health system have a significant partnership with an insurer or an insurance company/health plan?,Total Capital Expenditures,Emergency medicine (TE),Hospitalist (TE),Intensivist (TE),Obstetrics/gynecology (TE),Other specialists (TE),Primary care (TE),Radiologists/pathologist/anesthesiologist (TE),Total Physicians (TE)
CY,6390035,100130,Lakeside Medical Center,39200 Hooker Highway,Belle Glade,FL,33430-5368,561,9966571,http://www.lakesidemedical.org,,,,,Yes,12099,"Palm Beach, FL",26.7242,-80.6713,Govt. (non federal) - Hospital district,,General medical and surgical,,,,,,,,,,"Janet D. Moreland, Hospital Administrator",,,,,,,,,,,,,,,,,
CY,6390037,101304,Calhoun Liberty Hospital,20370 NE Burns Avenue,Blountstown,FL,32424-1045,850,6745411,http://www.calhounlibertyhospital.com,,,,,Yes,12013,"Calhoun, FL",30.4587,-85.0502,Nongovt. (not-for-profit) - Other,,General medical and surgical,5990317,Alliant Management Services,"2650 Eastpoint Parkway, Suite 300",Louisville,KY,40223-5164,(502)992-3525,Michael A Kozar,President and Chief Executive Officer,"Christinia Jepsen, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390038,100168,Boca Raton Regional Hospital,800 Meadows Road,Boca Raton,FL,33486-2368,561,9557100,http://www.brrh.com,No,,,,Yes,12099,"Palm Beach, FL",26.3586,-80.1024,Nongovt. (not-for-profit) - Other,No,General medical and surgical,5990122,Baptist Health South Florida,"6855 Red Road, Suite 600",Coral Gables,FL,33143-3632,(786)662-7111,"Albert Leon Boulenger, MPA, BSN, RN",President and Chief Executive Officer,"Lincoln S Mendez, Chief Executive Officer",No,No,No,No,No,Yes,,Yes,92918742,0,0,0,0,66,14,2,82
CY,6390039,100090,UF Health St. John's,400 Health Park Boulevard,Saint Augustine,FL,32086-5784,904,8195155,http://www.flaglerhospital.org,,,,,Yes,12109,"St. Johns, FL",29.8635,-81.3176,Nongovt. (not-for-profit) - Other,,General medical and surgical,5990111,UF Health Shands,1600 SW Archer Road,Gainesville,FL,32610-0326,(352)733-1500,"James J. Kelly, Jr.",Interim Chief Executive Officer,"Carlton A. DeVooght, President and Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390040,101307,Doctors Memorial Hospital,2600 Hospital Drive,Bonifay,FL,32425-4264,850,5478000,http://www.doctorsmemorial.org,No,,,,Yes,12059,"Holmes, FL",30.7609,-85.6833,Govt. (non federal) - Hospital district,No,General medical and surgical,,,,,,,,,,"Huy Nguyen, Chief Executive Officer",No,No,No,No,No,No,,,,,,,,,,,
CY,6390043,100224,HCA Florida Woodmont Hospital,7201 North University Drive,Tamarac,FL,33321-2996,954,7212200,https://www.hcafloridahealthcare.com/locations/woodmont-hospital,,,,,Yes,12011,"Broward, FL",26.2121,-80.2544,Investor-owned; for-profit - Corporation,,General medical and surgical,5990048,HCA Healthcare,1 Park Plaza,Nashville,TN,37203-1548,(615)344-5248,Samuel Hazen,President and Chief Executive Officer,"Cory Mead, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390045,100268,West Boca Medical Center,21644 State Road 7,Boca Raton,FL,33428-1899,561,4888000,http://www.westbocamedctr.com,,,,,Yes,12099,"Palm Beach, FL",26.356,-80.1992,Investor-owned; for-profit - Corporation,,General medical and surgical,5990919,TENET Healthcare Corporation,14201 Dallas Parkway,Dallas,TX,75254-2916,(469)893-2200,"Saumya Sutaria, MD",Chief Executive Officer,"Jerad Hanlon, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390046,100072,AdventHealth Fish Memorial,1055 Saxon Boulevard,Orange City,FL,32763-8468,386,9175000,http://www.fhfishmemorial.org,No,,,,Yes,12127,"Volusia, FL",28.914,-81.2848,Nongovt. (not-for-profit) - Church Operated,Yes,General medical and surgical,5994165,AdventHealth,900 Hope Way,Altamonte Springs,FL,32714-1502,(407)357-1000,Terry Shaw,President and Chief Executive Officer,"Lorenzo Brown, President",No,No,No,No,No,No,,No,,,,,,,,,
CY,6390048,100246,HCA Florida Lawnwood Hospital,1700 South 23rd Street,Fort Pierce,FL,34950-4803,772,4614000,https://www.hcafloridahealthcare.com/locations/lawnwood-hospital,,,,,Yes,12111,"St. Lucie, FL",27.432,-80.3451,Investor-owned; for-profit - Corporation,,General medical and surgical,5990048,HCA Healthcare,1 Park Plaza,Nashville,TN,37203-1548,(615)344-5248,Samuel Hazen,President and Chief Executive Officer,"Eric Goldman, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390050,100002,Bethesda Hospital East,2815 South Seacrest Boulevard,Boynton Beach,FL,33435-7995,561,7377733,https://baptisthealth.net/locations/hospitals/bethesda-hospital-east,No,,,,Yes,12099,"Palm Beach, FL",26.5048,-80.0704,Nongovt. (not-for-profit) - Other,No,General medical and surgical,5990122,Baptist Health South Florida,"6855 Red Road, Suite 600",Coral Gables,FL,33143-3632,(786)662-7111,"Albert Leon Boulenger, MPA, BSN, RN",President and Chief Executive Officer,"Jared M. Smith, Chief Executive Officer",No,No,No,No,No,Yes,,Yes,30172030,0,0,0,4,37,8,0,49
CY,6390052,100087,Sarasota Memorial Hospital - Sarasota,1700 South Tamiami Trail,Sarasota,FL,34239-3555,941,9179000,http://www.smh.com,No,,,,Yes,12115,"Sarasota, FL",27.2598,-80.8285,Govt. (non federal) - Hospital district,No,General medical and surgical,5990419,Sarasota Memorial Health Care System,1540 South Tamiami Trail,Sarasota,FL,34239-2930,(941)917-7322,David Verinder,Chief Executive Officer,"David Verinder, Chief Executive Officer",No,No,Yes,No,No,Yes,Community Trauma Center,No,130416261,0,68,6,18,75,53,0,220
CY,6390053,100075,St. Joseph's Hospital FL,3001 West Martin Luther King Jr. Boulevard,Tampa,FL,33607-6387,813,8704000,http://www.sjbhealth.org,No,,,,Yes,12057,"Hillsborough, FL",27.9815,-82.4891,Nongovt. (not-for-profit) - Church Operated,No,General medical and surgical,5991091,BayCare Health System,,,,,(727)820-8200,"Stephanie Conners, MSA, BSN, RN",President and Chief Executive Officer,"Philip Minden, Chief Executive Officer",No,No,Yes,Yes,No,No,Community Trauma Center,No,21854960,0,75,0,0,92,36,0,203
CY,6390055,100213,HCA Florida Blake Hospital,2020 59th Street West,Bradenton,FL,34209-4669,941,7926611,https://www.hcafloridahealthcare.com/locations/blake-hospital,No,,,,Yes,12081,"Manatee, FL",27.4822,-82.6234,Investor-owned; for-profit - Corporation,No,General medical and surgical,5990048,HCA Healthcare,1 Park Plaza,Nashville,TN,37203-1548,(615)344-5248,Samuel Hazen,President and Chief Executive Officer,"Steve W. Young, Chief Executive Officer",No,No,No,No,No,No,Community Trauma Center,,,,,,,,,,
CY,6390056,100017,Halifax Health Medical Center of Daytona Beach,303 North Clyde Morris Boulevard,Daytona Beach,FL,32114-2700,386,4254000,http://www.halifaxhealth.org,No,,,,Yes,12127,"Volusia, FL",29.2004,-81.0547,Govt. (non federal) - Hospital district,Yes,General medical and surgical,,,,,,,,,,"Jeff Feasel, President and Chief Executive Officer",No,No,Yes,No,No,No,Community Trauma Center,No,38710000,44,18,10,2,38,61,0,173
CY,6390059,102015,Kindred Hospital North Florida,801 Oak Street,Green Cove Springs,FL,32043-4317,904,2849230,http://www.khnorthflorida.com,,,,,Yes,12019,"Clay, FL",29.9883,-81.682,Investor-owned; for-profit - Corporation,,Acute Long-Term Care,5991096,ScionHealth,680 South Fourth Street,Louisville,KY,40202-2407,(502)596-7300,Robert F. Jay,Chief Executive Officer,"Robbi Hudson, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390060,100118,AdventHealth Palm Coast,60 Memorial Medical Parkway,Palm Coast,FL,32164-5980,386,5862000,http://www.floridahospitalflagler.com/,No,,,,Yes,12035,"Flagler, FL",29.4792,-81.1894,Nongovt. (not-for-profit) - Church Operated,No,General medical and surgical,5994165,AdventHealth,900 Hope Way,Altamonte Springs,FL,32714-1502,(407)357-1000,Terry Shaw,President and Chief Executive Officer,"Denyse Bales-Chubb, President and Chief Executive Officer",No,No,No,No,No,No,,Yes,13411590,0,0,0,0,0,0,0,0
CY,6390061,102013,Kindred Hospital Central Tampa,4801 North Howard Avenue,Tampa,FL,33603-1411,813,8747575,http://www.kindredcentraltampa.com/,No,,,,No,12057,"Hillsborough, FL",27.9895,-82.4812,Investor-owned; for-profit - Corporation,No,Acute Long-Term Care,5991096,ScionHealth,680 South Fourth Street,Louisville,KY,40202-2407,(502)596-7300,Robert F. Jay,Chief Executive Officer,"Amy Kendall, Chief Executive Officer",No,No,No,No,No,No,,No,,,,,,,,,
CY,6390064,100035,Manatee Memorial Hospital,206 Second Street East,Bradenton,FL,34208-1000,941,7465111,http://www.manateememorial.com,,,,,Yes,12081,"Manatee, FL",27.4973,-82.5622,Investor-owned; for-profit - Partnership,,General medical and surgical,5999555,"Universal Health Services, Inc.",367 South Gulph Road,King of Prussia,PA,19406-3121,(610)768-3300,Marc D. Miller,Chief Executive Officer,"Tom R McDougal Jr, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390067,100071,Bravera Health Brooksville,17240 Cortez Boulevard,Brooksville,FL,34601-8921,352,7965111,https://www.bayfrontbrooksville.com/,No,,,,Yes,12053,"Hernando, FL",28.5385,-82.443,Investor-owned; for-profit - Corporation,No,General medical and surgical,,,,,,,,,,"Bobby Ginn, Chief Executive Officer",No,No,No,No,No,No,,,,,,,,,,,
CY,6390068,100244,Cape Coral Hospital,636 Del Prado Boulevard,Cape Coral,FL,33990-2695,239,4242000,http://www.leememorial.org,No,,,,Yes,12071,"Lee, FL",26.6394,-81.9432,Govt. (non federal) - Hospital district,No,General medical and surgical,5990369,Lee Health,9800 South Healthpark Drive #405,Fort Myers,FL,33908-7603,(239)343-2000,"Lawrence Antonucci, MD, MBA",President and Chief Executive Officer,"Armando Llechu, Chief Administrative Officer",No,No,Yes,No,No,Yes,,No,158191000,,,,,,,,
CY,6390070,100243,HCA Florida Brandon Hospital,119 Oakfield Drive,Brandon,FL,33511-5779,813,6815551,http://www.brandonhospital.com,,,,,Yes,12057,"Hillsborough, FL",27.9327,-82.2874,Investor-owned; for-profit - Corporation,,General medical and surgical,5990048,HCA Healthcare,1 Park Plaza,Nashville,TN,37203-1548,(615)344-5248,Samuel Hazen,President and Chief Executive Officer,"Tripp Owings, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390071,104057,Springbrook Hospital,7007 Grove Road,Brooksville,FL,34609-8610,352,5964306,http://springbrookhospital.org/,,,,,No,12053,"Hernando, FL",28.534,-82.4835,Nongovt. (not-for-profit) - Other,,Psychiatric,5990978,Oglethorpe Recovery and Behavioral Hospitals,201 North Franklin Street,Tampa,FL,33602-5182,(813) 978-1933,John Picciano,Chief Executive Officer,"Samuel Bennett, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390074,100080,HCA Florida JFK Hospital,5301 South Congress Avenue,Atlantis,FL,33462-1197,561,9657300,https://www.hcafloridahealthcare.com/locations/jfk-hospital,,,,,Yes,12099,"Palm Beach, FL",26.5986,-80.0915,Investor-owned; for-profit - Corporation,,General medical and surgical,5990048,HCA Healthcare,1 Park Plaza,Nashville,TN,37203-1548,(615)344-5248,Samuel Hazen,President and Chief Executive Officer,"Kenneth West, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390076,103038,Encompass Health Rehabilitation Hospital of Miami,20601 Old Cutler Road,Cutler Bay,FL,33189-2400,305,2513800,https://encompasshealth.com/locations/miamirehab,,,,,Yes,12086,"Miami-Dade, FL",25.5748,-80.3409,Investor-owned; for-profit - Corporation,,Rehabilitation,5990023,Encompass Health Corporation,9001 Liberty Parkway,Birmingham,AL,35242-7509,(205)967-7116,Mark J Tarr,President and Chief Executive Officer,"Tarif 'TC' Chowdhury, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390079,100052,Winter Haven Hospital,200 Avenue F NE,Winter Haven,FL,33881-4193,863,2931121,https://baycare.org/hospitals/winter-haven-hospital/patients-and-visitors,No,,,,Yes,12105,"Polk, FL",28.0276,-81.7247,Nongovt. (not-for-profit) - Other,No,General medical and surgical,5991091,BayCare Health System,,,,,(727)820-8200,"Stephanie Conners, MSA, BSN, RN",President and Chief Executive Officer,"Susan Croushore, Interim President",No,No,No,No,Yes,No,,No,8620808,0,0,0,0,0,0,0,0
CY,6390080,104000,Florida State Hospital,U S Highway 90 East,Chattahoochee,FL,32324-1000,850,6637536,https://www.myflfamilies.com/service-programs/mental-health/fsh/,,,,,No,12039,"Gadsden, FL",30.705,-84.843,Govt. (non federal) - State,,Psychiatric,,,,,,,,,,"Stephen B. Lewallen, Hospital Administrator",,,,,,,,,,,,,,,,,
CY,6390081,100258,Delray Medical Center,5352 Linton Boulevard,Delray Beach,FL,33484-6580,561,4984440,http://www.delraymedicalctr.com,No,,,,Yes,12099,"Palm Beach, FL",26.437,-80.1278,Investor-owned; for-profit - Corporation,No,General medical and surgical,5990919,TENET Healthcare Corporation,14201 Dallas Parkway,Dallas,TX,75254-2916,(469)893-2200,"Saumya Sutaria, MD",Chief Executive Officer,"Daniel Listi, Chief Executive Officer",No,No,Yes,No,No,Yes,Regional Resource Trauma Center,,,,,,,,,,
CY,6390082,100001,UF Health Jacksonville,655 West Eighth Street,Jacksonville,FL,32209-6595,904,2440411,http://ufhealthjax.org/,No,,,,Yes,12031,"Duval, FL",30.3488,-81.6646,Nongovt. (not-for-profit) - Other,Yes,General medical and surgical,5990111,UF Health Shands,1600 SW Archer Road,Gainesville,FL,32610-0326,(352)733-1500,"James J. Kelly, Jr.",Interim Chief Executive Officer,"Patrick Green, Chief Executive Officer",No,No,Yes,Yes,No,No,Regional Resource Trauma Center,No,31778149,,,,,,,,
CY,6390084,100292,Ascension Sacred Heart Emerald Coast,7800 Highway 98 West,Miramar Beach,FL,32550,850,2783000,https://healthcare.ascension.org/locations/florida/flpen/miramar-beach-ascension-sacred-heart-emerald-coast,No,,,,Yes,12131,"Walton, FL",30.3784,-86.307,Nongovt. (not-for-profit) - Other,No,General medical and surgical,5990198,Ascension Healthcare,4600 Edmundson Road,Saint Louis,MO,63134,(314)733-8000,"Joseph R. Impicciche, JD, MHA",Chief Executive Officer,"Bryan Walrath, President",No,No,Yes,No,No,Yes,,No,4878150,11,9,0,5,27,27,1,80
CY,6390085,101308,Northwest Florida Community Hospital,1360 Brickyard Road,Chipley,FL,32428-6303,850,6381610,http://www.nfch.org,Yes,Alliant Management Services,Louisville,KY,Yes,12133,"Washington, FL",30.7663,-85.5429,Investor-owned; for-profit - Corporation,No,General medical and surgical,5990317,Alliant Management Services,"2650 Eastpoint Parkway, Suite 300",Louisville,KY,40223-5164,(502)992-3525,Michael A Kozar,President and Chief Executive Officer,"Michael A Kozar, Chief Executive Officer",No,Yes,No,No,Yes,No,,No,2241562,0,0,0,0,2,6,0,8
CY,6390086,100291,Melbourne Regional Medical Center,250 North Wickham Road,Melbourne,FL,32935-8625,321,7521200,http://www.wuesthoff.com/locations/wuesthoff-medical-center-melbourne,,,,,Yes,12009,"Brevard, FL",28.1092,-80.6742,Investor-owned; for-profit - Corporation,,General medical and surgical,5990141,"Steward Health Care System, LLC","1900 North Pearl Street, Suite 2400",Dallas,TX,75201,(617)419-4700,"Ralph de la Torre, MD",Chairman and Chief Executive Officer,"Ron Gicca, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390090,100127,Morton Plant Hospital,300 Pinellas Street,Clearwater,FL,33756-3804,727,4627000,https://baycare.org/locations/hospitals/morton-plant-hospital/patients-and-visitors,No,,,,Yes,12103,"Pinellas, FL",27.9528,-82.803,Nongovt. (not-for-profit) - Other,No,General medical and surgical,5991091,BayCare Health System,,,,,(727)820-8200,"Stephanie Conners, MSA, BSN, RN",President and Chief Executive Officer,"Matthew Novak, President",No,No,Yes,No,No,Yes,,No,27080780,0,0,0,0,0,0,0,0
CY,6390093,100051,Orlando Health South Lake Hospital,1900 Don Wickham Drive,Clermont,FL,34711-1979,352,3944071,http://www.southlakehospital.com,No,,,,Yes,12069,"Lake, FL",28.552,-81.7209,Nongovt. (not-for-profit) - Other,Yes,General medical and surgical,5993355,Orlando Health,1414 Kuhl Avenue,Orlando,FL,32806-2093,(321)843-7000,David W Strong,President and Chief Executive Officer,"Lance Sewell, President and Chief Executive Officer",No,Yes,Yes,No,Yes,Yes,,No,37400957,0,0,0,0,0,0,0,0
CY,6390095,101309,Hendry Regional Medical Center,524 West Sagamore Avenue,Clewiston,FL,33440-3514,863,9023000,http://www.hendryregional.org,Yes,Quorum Health Resources LLC,Brentwood,TN,Yes,12051,"Hendry, FL",26.7533,-80.9415,Govt. (non federal) - Hospital district,No,General medical and surgical,5990002,Ovation Healthcare,"1573 Mallory Lane, Suite 200",Brentwood,TN,37027,(615)371-7979,Dwayne Gunter,President and Chief Executive Officer,"R.D. Williams, Chief Executive Officer",No,No,No,No,No,No,,No,2488295,0,0,0,0,2,6,0,8
CY,6390097,100177,Health First Cape Canaveral Hospital,701 West Cocoa Beach Causeway,Cocoa Beach,FL,32931-5595,321,7997111,https://hf.org/healthcare-home/location-directory/cape-canaveral-hospital,No,,,,Yes,12009,"Brevard, FL",28.3601,-80.6231,Nongovt. (not-for-profit) - Other,Yes,General medical and surgical,5990328,"Health First, Inc.",6450 US Highway 1,Rockledge,FL,32955-5747,(321)434-7000,Kent Smith,Interim Chief Executive Officer,"Brett A. Esrock, President",No,Yes,No,No,No,Yes,,Yes,12025613,0,92,2,3,48,0,0,145
CY,6390098,104017,Windmoor Healthcare of Clearwater,11300 U S 19 North,Clearwater,FL,33764,727,5412646,http://www.windmoor.com,,,,,No,12103,"Pinellas, FL",27.8749,-82.7112,Investor-owned; for-profit - Corporation,,Psychiatric,5999555,"Universal Health Services, Inc.",367 South Gulph Road,King of Prussia,PA,19406-3121,(610)768-3300,Marc D. Miller,Chief Executive Officer,"Joshua Rodriguez, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390102,100290,UF Health The Villages Hospital,1451 El Camino Real,The Villages,FL,32159-0041,352,7518000,http://www.cfhalliance.org,No,,,,Yes,12069,"Sumter, FL",28.9502,-81.9583,Nongovt. (not-for-profit) - Other,Yes,General medical and surgical,5990111,UF Health Shands,1600 SW Archer Road,Gainesville,FL,32610-0326,(352)733-1500,"James J. Kelly, Jr.",Interim Chief Executive Officer,"Heather Long, Senior Vice President and Chief Operating Officer",No,Yes,No,No,No,No,,No,,0,0,0,0,0,0,0,0
CY,6390103,100286,Physicians Regional - Pine Ridge,6101 Pine Ridge Road,Naples,FL,34119-3900,239,3484000,http://www.physiciansregional.com,,,,,Yes,12021,"Collier, FL",26.2138,-81.7326,Investor-owned; for-profit - Corporation,,General medical and surgical,5990080,"Community Health Systems, Inc.",4000 Meridian Boulevard,Franklin,TN,37067-6325,(615)465-7000,Tim Hingtgen,Chief Executive Officer,"Scott Lowe, Market Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390105,100296,Doctors Hospital FL,5000 University Drive,Coral Gables,FL,33146-2094,786,3083000,http://www.baptisthealth.net,No,,,,Yes,12086,"Miami-Dade, FL",25.7243,-80.2742,Nongovt. (not-for-profit) - Other,No,General medical and surgical,5990122,Baptist Health South Florida,"6855 Red Road, Suite 600",Coral Gables,FL,33143-3632,(786)662-7111,"Albert Leon Boulenger, MPA, BSN, RN",President and Chief Executive Officer,"Javier Hernandez-Lichtl, Chief Executive Officer",No,No,No,No,No,Yes,,Yes,7402480,0,95,0,2,148,0,0,245
CY,6390106,103042,Encompass Health Rehabilitation Hospital of Spring Hill,12440 Cortez Boulevard,Brooksville,FL,34613-2628,352,5924250,http://www.healthsouthspringhill.com,,,,,Yes,12053,"Hernando, FL",28.5319,-82.5171,Investor-owned; for-profit - Corporation,,Rehabilitation,5990023,Encompass Health Corporation,9001 Liberty Parkway,Birmingham,AL,35242-7509,(205)967-7116,Mark J Tarr,President and Chief Executive Officer,"Michael Thomas, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390107,103040,Encompass Health Rehabilitation Hospital of Panama City,1847 Florida Avenue,Panama City,FL,32405-4640,850,9148600,http://www.healthsouthpanamacity.com,,,,,Yes,12005,"Bay, FL",30.1819,-85.6695,Investor-owned; for-profit - Corporation,,Rehabilitation,5990023,Encompass Health Corporation,9001 Liberty Parkway,Birmingham,AL,35242-7509,(205)967-7116,Mark J Tarr,President and Chief Executive Officer,"Tony N Bennett, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390109,100299,Lakewood Ranch Medical Center,8330 Lakewood Ranch Boulevard,Bradenton,FL,34202-5174,941,7822100,http://www.lakewoodranchmedicalcenter.com,,,,,Yes,12081,"Manatee, FL",27.3907,-82.4353,Investor-owned; for-profit - Corporation,,General medical and surgical,5999555,"Universal Health Services, Inc.",367 South Gulph Road,King of Prussia,PA,19406-3121,(610)768-3300,Marc D. Miller,Chief Executive Officer,"Andrew Guz, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390110,,Miami Veterans Affairs Healthcare System,1201 NW 16th Street,Miami,FL,33125-1624,305,5757000,http://www.miami.va.gov/,No,,,,No,12086,"Miami-Dade, FL",25.7915,-80.2163,Govt. (federal) - Veterans' Affairs,No,General medical and surgical,5999295,Department of Veterans Affairs,810 Vermont Ave Northwest,Washington,DC,20420-0001,(202)273-5781,Robert Wilkie,Secretary,"Kalautie JangDhari, Medical Center Director",No,No,No,No,No,No,,No,,24,0,0,2,40,60,15,141
CY,6390111,100285,Memorial Hospital Miramar,1901 SW 172nd Avenue,Miramar,FL,33029-5592,954,5385000,https://www.mhs.net/locations/memorial-miramar,No,,,,Yes,12011,"Broward, FL",25.9909,-80.3733,Govt. (non federal) - Hospital district,No,General medical and surgical,5990083,Memorial Healthcare System,3501 Johnson Street,Hollywood,FL,33021-5421,(954)987-2000,"K. Scott Wester, FACHE",President and Chief Executive Officer,"Stephen Demers, Chief Executive Officer",No,No,Yes,No,No,Yes,,Yes,16431000,0,0,33,2,152,9,1,197
CY,6390112,104040,Centerstone Hospital,2020 26th Avenue East,Bradenton,FL,34208-7753,941,7824600,http://www.manateeglens.org,No,,,,No,12081,"Manatee, FL",27.4759,-82.5395,Nongovt. (not-for-profit) - Other,No,Other specialty,,,,,,,,,,"Melissa Larkin-Skinner, Chief Executive Officer",No,No,No,No,No,No,,,,,,,,,,,
CY,6390114,103036,West Gables Rehabilitation Hospital,2525 SW 75th Avenue,Miami,FL,33155-2800,305,2626800,http://www.westgablesrehabhospital.com/,No,,,,Yes,12086,"Miami-Dade, FL",25.7471,-80.317,Investor-owned; for-profit - Corporation,No,Rehabilitation,5990181,Select Medical Corporation,4714 Gettysburg Road,Mechanicsburg,PA,17055-4325,(717)972-1100,David S. Chernow,Chief Executive Officer,"Walter Concepcion, Chief Executive Officer",No,No,No,No,No,Yes,,No,,,,,,,,,
CY,6390115,100122,North Okaloosa Medical Center,151 Redstone Avenue SE,Crestview,FL,32539-6026,850,6898100,http://www.northokaloosa.com,No,,,,Yes,12091,"Okaloosa, FL",30.7356,-86.5622,Investor-owned; for-profit - Corporation,No,General medical and surgical,5990080,"Community Health Systems, Inc.",4000 Meridian Boulevard,Franklin,TN,37067-6325,(615)465-7000,Tim Hingtgen,Chief Executive Officer,"Michael Nordness, Chief Executive Officer",No,No,No,No,No,No,,No,1308523,0,0,0,0,0,1,0,1
CY,6390117,102001,Select Specialty Hospital-Miami,955 NW 3rd Street,Miami,FL,33128-1274,305,4165700,https://www.selectspecialtyhospitals.com/locations-and-tours/fl/miami/miami/,,,,,Yes,12086,"Miami-Dade, FL",25.777,-80.2108,Investor-owned; for-profit - Corporation,,Acute Long-Term Care,5990181,Select Medical Corporation,4714 Gettysburg Road,Mechanicsburg,PA,17055-4325,(717)972-1100,David S. Chernow,Chief Executive Officer,"Monica Madrigal, Interim Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390118,100249,Bravera Health Seven Rivers,6201 North Suncoast Boulevard,Crystal River,FL,34428-6712,352,7956560,https://www.braverahealth.com/bravera-health-seven-rivers,,,,,Yes,12017,"Citrus, FL",28.9518,-82.6245,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Linda Stockton, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390119,102003,Select Specialty Hospital-Orlando North,2250 Bedford Road,Orlando,FL,32803-1443,407,3037869,https://www.selectspecialtyhospitals.com/locations-and-tours/fl/orlando/orlando-north/,,,,,Yes,12095,"Orange, FL",28.5724,-81.3704,Investor-owned; for-profit - Corporation,,Acute Long-Term Care,5990181,Select Medical Corporation,4714 Gettysburg Road,Mechanicsburg,PA,17055-4325,(717)972-1100,David S. Chernow,Chief Executive Officer,"Kelvin L. Parks, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390120,100046,AdventHealth Zephyrhills,7050 Gall Boulevard,Zephyrhills,FL,33541-1399,813,7880411,https://www.adventhealth.com/hospital/adventhealth-zephyrhills,No,,,,Yes,12101,"Pasco, FL",28.2609,-82.188,Nongovt. (not-for-profit) - Church Operated,No,General medical and surgical,5994165,AdventHealth,900 Hope Way,Altamonte Springs,FL,32714-1502,(407)357-1000,Terry Shaw,President and Chief Executive Officer,"Michael Murrill, President and Chief Executive Officer",No,No,No,No,No,Yes,,,,,,,,,,,
CY,6390121,102017,Select Specialty Hospital-Panama City,"615 North Bonita Avenue, 3rd Floor",Panama City,FL,32401-3623,850,7673180,https://www.selectspecialtyhospitals.com/locations-and-tours/fl/panama-city/panama-city/,,,,,Yes,12005,"Bay, FL",30.1597,-85.6486,Investor-owned; for-profit - Corporation,,Acute Long-Term Care,5990181,Select Medical Corporation,4714 Gettysburg Road,Mechanicsburg,PA,17055-4325,(717)972-1100,David S. Chernow,Chief Executive Officer,"Matthew Presley, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6390123,103027,St. Anthony's Rehabilitation Hospital,3485 NW 30th Street,Lauderdale Lakes,FL,33311-1890,954,7396233,http://www.catholichealthservices.org,,,,,Yes,12011,"Broward, FL",26.1638,-80.1934,Nongovt. (not-for-profit) - Church Operated,,Rehabilitation,5990903,Catholic Health Services,4790 North State Road 7,Lauderdale Lakes,FL,33319-5860,(954)484-1515,Joseph M. Catania,President and Chief Executive Officer,"Joseph M. Catania, Chief Executive Officer",,,,,,,,,,,,,,,,,
